configuration,strides,dilations,input_batch,input_width,input_height,input_channel,kernel_width,kernel_height,kernel_input_channels,kernel_output_channels,output_batch,output_width,output_height,output_channel,permuation_order_1,permuation_order_2,permuation_order_3,permuation_order_4,permuation_order_5,permuation_order_6,permuation_order_7,actual_input_batch,actual_input_width,actual_input_height,actual_input_channel,actual_kernel_width,actual_kernel_height,actual_kernel_input_channels,actual_kernel_output_channels,actual_output_batch,actual_output_width,actual_output_height,actual_output_channel,number_of_tiles,simulation_cycles,total_power,area,runtime_in_s,gflops,gflops_per_watt,energy_consumed,flop_count
alexnet_permute_conv2d_1_0123456,4,1,1,227,227,3,11,11,3,96,1,55,55,96,0,1,2,3,4,5,6,1,227,227,1,11,11,1,1,1,55,55,1,288.0,491687712.0,0.00788,73324.0,4.916877,0.042879,5.441497,0.03874499076,210830400
alexnet_permute_conv2d_1_0123465,4,1,1,227,227,3,11,11,3,96,1,55,55,96,0,1,2,3,4,6,5,1,227,227,1,11,11,1,1,1,55,55,1,288.0,491687712.0,0.00815,76106.0,4.916877,0.042879,5.261227,0.04007254755,210830400
alexnet_permute_conv2d_1_0123546,4,1,1,227,227,3,11,11,3,96,1,55,55,96,0,1,2,3,5,4,6,1,227,227,1,11,11,1,1,1,55,55,1,288.0,491687712.0,0.00858,81221.0,4.916877,0.042879,4.997552,0.04218680466,210830400
alexnet_permute_conv2d_1_0123564,4,1,1,227,227,3,11,11,3,96,1,55,55,96,0,1,2,3,6,4,5,1,227,227,1,11,11,1,1,1,55,55,1,288.0,491687712.0,0.00857,81203.0,4.916877,0.042879,5.003384,0.04213763589,210830400
alexnet_permute_conv2d_1_0123645,4,1,1,227,227,3,11,11,3,96,1,55,55,96,0,1,2,3,5,6,4,1,227,227,1,11,11,1,1,1,55,55,1,288.0,491687712.0,0.00819,75818.0,4.916877,0.042879,5.235531,0.04026922263,210830400
alexnet_permute_conv2d_1_0123654,4,1,1,227,227,3,11,11,3,96,1,55,55,96,0,1,2,3,6,5,4,1,227,227,1,11,11,1,1,1,55,55,1,288.0,491687712.0,0.00858,81136.0,4.916877,0.042879,4.997552,0.04218680466,210830400
alexnet_permute_conv2d_1_0132456,4,1,1,227,227,3,11,11,3,96,1,55,55,96,0,1,3,2,4,5,6,1,227,227,1,11,11,1,1,1,55,55,1,288.0,491687712.0,0.00788,73194.0,4.916877,0.042879,5.441497,0.03874499076,210830400
alexnet_permute_conv2d_1_0132465,4,1,1,227,227,3,11,11,3,96,1,55,55,96,0,1,3,2,4,6,5,1,227,227,1,11,11,1,1,1,55,55,1,288.0,491687712.0,0.00815,75984.0,4.916877,0.042879,5.261227,0.04007254755,210830400
alexnet_permute_conv2d_1_0132546,4,1,1,227,227,3,11,11,3,96,1,55,55,96,0,1,3,2,5,4,6,1,227,227,1,11,11,1,1,1,55,55,1,288.0,491687712.0,0.00859,81186.0,4.916877,0.042879,4.991735,0.04223597343,210830400
alexnet_permute_conv2d_1_0132564,4,1,1,227,227,3,11,11,3,96,1,55,55,96,0,1,3,2,6,4,5,1,227,227,1,11,11,1,1,1,55,55,1,288.0,491687712.0,0.00858,81219.0,4.916877,0.042879,4.997552,0.04218680466,210830400
