configuration,strides,dilations,input_batch,input_width,input_height,input_channel,kernel_width,kernel_height,kernel_input_channels,kernel_output_channels,output_batch,output_width,output_height,output_channel,tiled_output_batch,tiled_output_width,tiled_output_height,tiled_output_channel,tiled_kernel_width,tiled_kernel_height,tiled_input_channel,actual_input_batch,actual_input_width,actual_input_height,actual_input_channel,actual_kernel_width,actual_kernel_height,actual_kernel_input_channels,actual_kernel_output_channels,actual_output_batch,actual_output_width,actual_output_height,actual_output_channel,number_of_tiles,simulation_cycles,total_power,area,runtime_in_s,gflops,gflops_per_watt,energy_consumed,flop_count
alexnet_tile_conv2d_1_0000000,4,1,1,227,227,3,11,11,3,96,1,55,55,96,0,0,0,0,0,0,0,1,227,227,1,11,11,1,1,1,55,55,1,288.0,491700672.0,0.00828,75396.0,4.917007,0.042878,5.178502,0.04071281796,210830400
alexnet_tile_conv2d_1_1441331,4,1,1,227,227,3,11,11,3,96,1,55,55,96,1,4,4,1,3,3,1,1,227,227,1,11,11,1,1,1,55,55,1,288.0,730870560.0,0.008,66211.0,7.308706,0.028846,3.60575,0.058469648,210830400
alexnet_tile_conv2d_1_1881331,4,1,1,227,227,3,11,11,3,96,1,55,55,96,1,8,8,1,3,3,1,1,227,227,1,11,11,1,1,1,55,55,1,288.0,725753952.0,0.00787,65961.0,7.25754,0.02905,3.691233,0.0571168398,210830400
alexnet_tile_conv2d_1_1881551,4,1,1,227,227,3,11,11,3,96,1,55,55,96,1,8,8,1,5,5,1,1,227,227,1,11,11,1,1,1,55,55,1,288.0,734232672.0,0.00943,83268.0,7.342327,0.028714,3.044963,0.06923814361,210830400
alexnet_tile_conv2d_1_1881771,4,1,1,227,227,3,11,11,3,96,1,55,55,96,1,8,8,1,7,7,1,1,227,227,1,11,11,1,1,1,55,55,1,288.0,503098848.0,0.00977,89995.0,5.030988,0.041906,4.289253,0.04915275276,210830400
alexnet_tile_conv2d_1_116161331,4,1,1,227,227,3,11,11,3,96,1,55,55,96,1,16,16,1,3,3,1,1,227,227,1,11,11,1,1,1,55,55,1,288.0,723880800.0,0.00784,65659.0,7.238808,0.029125,3.714923,0.05675225472,210830400
alexnet_tile_conv2d_1_116161551,4,1,1,227,227,3,11,11,3,96,1,55,55,96,1,16,16,1,5,5,1,1,227,227,1,11,11,1,1,1,55,55,1,288.0,733309920.0,0.00928,82854.0,7.333099,0.028751,3.098168,0.06805115872,210830400
alexnet_tile_conv2d_1_116161771,4,1,1,227,227,3,11,11,3,96,1,55,55,96,1,16,16,1,7,7,1,1,227,227,1,11,11,1,1,1,55,55,1,288.0,502670304.0,0.00976,89680.0,5.026703,0.041942,4.297336,0.04906062128,210830400
alexnet_tile_conv2d_1_116161991,4,1,1,227,227,3,11,11,3,96,1,55,55,96,1,16,16,1,9,9,1,1,227,227,1,11,11,1,1,1,55,55,1,288.0,512253504.0,0.00971,89549.0,5.122535,0.041157,4.23862,0.04973981485,210830400
alexnet_tile_conv2d_1_11616111111,4,1,1,227,227,3,11,11,3,96,1,55,55,96,1,16,16,1,11,11,1,1,227,227,1,11,11,1,1,1,55,55,1,288.0,491821920.0,0.00879,79916.0,4.918219,0.042867,4.876792,0.04323114501,210830400
