configuration,input_batch,input_width,input_height,weight_batch,weight_width,weight_height,output_batch,output_width,output_height,unroll_full,unroll_factor,actual_input_batch,actual_input_width,actual_input_height,actual_weight_batch,actual_weight_width,actual_weight_height,actual_output_batch,actual_output_width,actual_output_height,number_of_tiles,simulation_cycles,total_power,area,runtime_in_s,gflops,gflops_per_watt,energy_consumed,flop_count
alexnet_unroll_matmul_1_unroll_0_factor_0,1,1,9216,1,9216,4096,1,1,4096,0,0,1,1,32,1,32,32,1,1,32,36864.0,155787264.0,0.0014,12258.0,1.557873,0.048462,34.615714,0.0021810222,75497472
alexnet_unroll_matmul_1_unroll_1_factor_4,1,1,9216,1,9216,4096,1,1,4096,1,4,1,1,32,1,32,32,1,1,32,36864.0,118038528.0,0.00886,70710.0,1.180385,0.06396,7.218962,0.0104582111,75497472
alexnet_unroll_matmul_1_unroll_1_factor_8,1,1,9216,1,9216,4096,1,1,4096,1,8,1,1,32,1,32,32,1,1,32,36864.0,118038528.0,0.00888,70417.0,1.180385,0.06396,7.202703,0.0104818188,75497472
alexnet_unroll_matmul_1_unroll_1_factor_16,1,1,9216,1,9216,4096,1,1,4096,1,16,1,1,32,1,32,32,1,1,32,36864.0,118038528.0,0.00889,71035.0,1.180385,0.06396,7.194601,0.01049362265,75497472
alexnet_unroll_matmul_1_unroll_1_factor_0,1,1,9216,1,9216,4096,1,1,4096,1,0,1,1,32,1,32,32,1,1,32,36864.0,118038528.0,0.00882,70921.0,1.180385,0.06396,7.251701,0.0104109957,75497472
alexnet_unroll_matmul_1_unroll_2_factor_4,1,1,9216,1,9216,4096,1,1,4096,2,4,1,1,32,1,32,32,1,1,32,36864.0,59645952.0,0.0228,178788.0,0.59646,0.126576,5.551579,0.013599288,75497472
alexnet_unroll_matmul_1_unroll_2_factor_8,1,1,9216,1,9216,4096,1,1,4096,2,8,1,1,32,1,32,32,1,1,32,36864.0,50208768.0,0.0383,323216.0,0.502088,0.150367,3.926031,0.0192299704,75497472
alexnet_unroll_matmul_1_unroll_2_factor_16,1,1,9216,1,9216,4096,1,1,4096,2,16,1,1,32,1,32,32,1,1,32,36864.0,45490176.0,0.0711,575059.0,0.454902,0.165964,2.334233,0.0323435322,75497472
alexnet_unroll_matmul_1_unroll_2_factor_0,1,1,9216,1,9216,4096,1,1,4096,2,0,1,1,32,1,32,32,1,1,32,36864.0,43057152.0,0.166,1146979.0,0.430572,0.175342,1.056277,0.071474952,75497472
alexnet_unroll_matmul_2_unroll_0_factor_0,1,1,4096,1,4096,4096,1,1,4096,0,0,1,1,32,1,32,32,1,1,32,16384.0,69238784.0,0.00141,12306.0,0.692388,0.048462,34.370213,0.00097626708,33554432
