configuration,strides,dilations,input_batch,input_width,input_height,input_channel,kernel_width,kernel_height,kernel_input_channels,kernel_output_channels,output_batch,output_width,output_height,output_channel,permuation_order_1,permuation_order_2,permuation_order_3,permuation_order_4,permuation_order_5,permuation_order_6,permuation_order_7,actual_input_batch,actual_input_width,actual_input_height,actual_input_channel,actual_kernel_width,actual_kernel_height,actual_kernel_input_channels,actual_kernel_output_channels,actual_output_batch,actual_output_width,actual_output_height,actual_output_channel,number_of_tiles,simulation_cycles,total_power,area,runtime_in_s,gflops,gflops_per_watt,energy_consumed,flop_count
lenet_permute_conv2d_1_0123456,1,1,1,32,32,1,5,5,1,6,1,28,28,6,0,1,2,3,4,5,6,1,32,32,1,5,5,1,1,1,28,28,1,6.0,407058.0,0.0143,111243.0,0.004071,0.057775,4.04021,5.82153e-05,235200
lenet_permute_conv2d_1_0123465,1,1,1,32,32,1,5,5,1,6,1,28,28,6,0,1,2,3,4,6,5,1,32,32,1,5,5,1,1,1,28,28,1,6.0,407058.0,0.0144,112971.0,0.004071,0.057775,4.012153,5.86224e-05,235200
lenet_permute_conv2d_1_0123546,1,1,1,32,32,1,5,5,1,6,1,28,28,6,0,1,2,3,5,4,6,1,32,32,1,5,5,1,1,1,28,28,1,6.0,407058.0,0.0149,114732.0,0.004071,0.057775,3.877517,6.06579e-05,235200
lenet_permute_conv2d_1_0123564,1,1,1,32,32,1,5,5,1,6,1,28,28,6,0,1,2,3,6,4,5,1,32,32,1,5,5,1,1,1,28,28,1,6.0,407058.0,0.0143,113085.0,0.004071,0.057775,4.04021,5.82153e-05,235200
lenet_permute_conv2d_1_0123645,1,1,1,32,32,1,5,5,1,6,1,28,28,6,0,1,2,3,5,6,4,1,32,32,1,5,5,1,1,1,28,28,1,6.0,407058.0,0.0142,113209.0,0.004071,0.057775,4.068662,5.78082e-05,235200
lenet_permute_conv2d_1_0123654,1,1,1,32,32,1,5,5,1,6,1,28,28,6,0,1,2,3,6,5,4,1,32,32,1,5,5,1,1,1,28,28,1,6.0,407058.0,0.0148,114703.0,0.004071,0.057775,3.903716,6.02508e-05,235200
lenet_permute_conv2d_1_0132456,1,1,1,32,32,1,5,5,1,6,1,28,28,6,0,1,3,2,4,5,6,1,32,32,1,5,5,1,1,1,28,28,1,6.0,407058.0,0.0141,111337.0,0.004071,0.057775,4.097518,5.74011e-05,235200
lenet_permute_conv2d_1_0132465,1,1,1,32,32,1,5,5,1,6,1,28,28,6,0,1,3,2,4,6,5,1,32,32,1,5,5,1,1,1,28,28,1,6.0,407058.0,0.0144,113205.0,0.004071,0.057775,4.012153,5.86224e-05,235200
lenet_permute_conv2d_1_0132546,1,1,1,32,32,1,5,5,1,6,1,28,28,6,0,1,3,2,5,4,6,1,32,32,1,5,5,1,1,1,28,28,1,6.0,407058.0,0.0147,113821.0,0.004071,0.057775,3.930272,5.98437e-05,235200
lenet_permute_conv2d_1_0132564,1,1,1,32,32,1,5,5,1,6,1,28,28,6,0,1,3,2,6,4,5,1,32,32,1,5,5,1,1,1,28,28,1,6.0,407058.0,0.0145,114325.0,0.004071,0.057775,3.984483,5.90295e-05,235200
lenet_permute_conv2d_1_0132645,1,1,1,32,32,1,5,5,1,6,1,28,28,6,0,1,3,2,5,6,4,1,32,32,1,5,5,1,1,1,28,28,1,6.0,407058.0,0.0142,112637.0,0.004071,0.057775,4.068662,5.78082e-05,235200
lenet_permute_conv2d_1_0132654,1,1,1,32,32,1,5,5,1,6,1,28,28,6,0,1,3,2,6,5,4,1,32,32,1,5,5,1,1,1,28,28,1,6.0,407058.0,0.0148,114521.0,0.004071,0.057775,3.903716,6.02508e-05,235200
lenet_permute_conv2d_1_0213456,1,1,1,32,32,1,5,5,1,6,1,28,28,6,0,2,1,3,4,5,6,1,32,32,1,5,5,1,1,1,28,28,1,6.0,407058.0,0.0137,108905.0,0.004071,0.057775,4.217153,5.57727e-05,235200
lenet_permute_conv2d_1_0213465,1,1,1,32,32,1,5,5,1,6,1,28,28,6,0,2,1,3,4,6,5,1,32,32,1,5,5,1,1,1,28,28,1,6.0,407058.0,0.0141,113716.0,0.004071,0.057775,4.097518,5.74011e-05,235200
lenet_permute_conv2d_1_0213546,1,1,1,32,32,1,5,5,1,6,1,28,28,6,0,2,1,3,5,4,6,1,32,32,1,5,5,1,1,1,28,28,1,6.0,407058.0,0.0145,113739.0,0.004071,0.057775,3.984483,5.90295e-05,235200
lenet_permute_conv2d_1_0213564,1,1,1,32,32,1,5,5,1,6,1,28,28,6,0,2,1,3,6,4,5,1,32,32,1,5,5,1,1,1,28,28,1,6.0,407058.0,0.0144,113676.0,0.004071,0.057775,4.012153,5.86224e-05,235200
