configuration,strides,dilations,input_batch,input_width,input_height,input_channel,kernel_width,kernel_height,kernel_input_channels,kernel_output_channels,output_batch,output_width,output_height,output_channel,tiled_output_batch,tiled_output_width,tiled_output_height,tiled_output_channel,tiled_kernel_width,tiled_kernel_height,tiled_input_channel,actual_input_batch,actual_input_width,actual_input_height,actual_input_channel,actual_kernel_width,actual_kernel_height,actual_kernel_input_channels,actual_kernel_output_channels,actual_output_batch,actual_output_width,actual_output_height,actual_output_channel,number_of_tiles,simulation_cycles,total_power,area,runtime_in_s,gflops,gflops_per_watt,energy_consumed,flop_count
lenet_tile_conv2d_1_0000000,1,1,1,32,32,1,5,5,1,6,1,28,28,6,0,0,0,0,0,0,0,1,32,32,1,5,5,1,1,1,28,28,1,6.0,407910.0,0.0199,159764.0,0.004079,0.057661,2.897538,8.11721e-05,235200
lenet_tile_conv2d_1_1441331,1,1,1,32,32,1,5,5,1,6,1,28,28,6,1,4,4,1,3,3,1,1,32,32,1,5,5,1,1,1,28,28,1,6.0,778524.0,0.0173,147787.0,0.007785,0.030212,1.746358,0.0001346805,235200
lenet_tile_conv2d_1_1881331,1,1,1,32,32,1,5,5,1,6,1,28,28,6,1,8,8,1,3,3,1,1,32,32,1,5,5,1,1,1,28,28,1,6.0,620076.0,0.0183,146513.0,0.006201,0.037929,2.072623,0.0001134783,235200
lenet_tile_conv2d_1_1881551,1,1,1,32,32,1,5,5,1,6,1,28,28,6,1,8,8,1,5,5,1,1,32,32,1,5,5,1,1,1,28,28,1,6.0,427146.0,0.0213,170805.0,0.004271,0.055069,2.585399,9.09723e-05,235200
lenet_tile_conv2d_1_116161331,1,1,1,32,32,1,5,5,1,6,1,28,28,6,1,16,16,1,3,3,1,1,32,32,1,5,5,1,1,1,28,28,1,6.0,617244.0,0.0162,139534.0,0.006172,0.038108,2.352346,9.99864e-05,235200
lenet_tile_conv2d_1_116161551,1,1,1,32,32,1,5,5,1,6,1,28,28,6,1,16,16,1,5,5,1,1,32,32,1,5,5,1,1,1,28,28,1,6.0,408318.0,0.0207,166744.0,0.004083,0.057605,2.78285,8.45181e-05,235200
lenet_tile_conv2d_1_128281331,1,1,1,32,32,1,5,5,1,6,1,28,28,6,1,28,28,1,3,3,1,1,32,32,1,5,5,1,1,1,28,28,1,6.0,615756.0,0.0168,138848.0,0.006158,0.038194,2.273452,0.0001034544,235200
lenet_tile_conv2d_2_0000000,1,1,1,14,14,6,5,5,6,16,1,10,10,16,0,0,0,0,0,0,0,1,14,14,6,5,5,6,1,1,10,10,1,16.0,1037712.0,0.0135,118768.0,0.010377,0.046256,3.42637,0.0001400895,480000
lenet_tile_conv2d_2_1441334,1,1,1,14,14,6,5,5,6,16,1,10,10,16,1,4,4,1,3,3,4,1,14,14,6,5,5,6,1,1,10,10,1,16.0,1179280.0,0.0157,138222.0,0.011793,0.040702,2.592484,0.0001851501,480000
lenet_tile_conv2d_2_1441336,1,1,1,14,14,6,5,5,6,16,1,10,10,16,1,4,4,1,3,3,6,1,14,14,6,5,5,6,1,1,10,10,1,16.0,1076976.0,0.0165,144629.0,0.01077,0.044568,2.701091,0.000177705,480000
lenet_tile_conv2d_2_1881334,1,1,1,14,14,6,5,5,6,16,1,10,10,16,1,8,8,1,3,3,4,1,14,14,6,5,5,6,1,1,10,10,1,16.0,1176272.0,0.015,132085.0,0.011763,0.040806,2.7204,0.000176445,480000
lenet_tile_conv2d_2_1881336,1,1,1,14,14,6,5,5,6,16,1,10,10,16,1,8,8,1,3,3,6,1,14,14,6,5,5,6,1,1,10,10,1,16.0,1075600.0,0.0161,140202.0,0.010756,0.044626,2.771801,0.0001731716,480000
lenet_tile_conv2d_2_1881554,1,1,1,14,14,6,5,5,6,16,1,10,10,16,1,8,8,1,5,5,4,1,14,14,6,5,5,6,1,1,10,10,1,16.0,1301072.0,0.0142,125011.0,0.013011,0.036892,2.598028,0.0001847562,480000
lenet_tile_conv2d_2_1881556,1,1,1,14,14,6,5,5,6,16,1,10,10,16,1,8,8,1,5,5,6,1,14,14,6,5,5,6,1,1,10,10,1,16.0,1038096.0,0.0161,138922.0,0.010381,0.046238,2.871925,0.0001671341,480000
lenet_tile_conv2d_2_110101334,1,1,1,14,14,6,5,5,6,16,1,10,10,16,1,10,10,1,3,3,4,1,14,14,6,5,5,6,1,1,10,10,1,16.0,1172944.0,0.0151,132543.0,0.011729,0.040924,2.710199,0.0001771079,480000
lenet_tile_conv2d_2_110101336,1,1,1,14,14,6,5,5,6,16,1,10,10,16,1,10,10,1,3,3,6,1,14,14,6,5,5,6,1,1,10,10,1,16.0,1073936.0,0.0166,140890.0,0.010739,0.044697,2.69259,0.0001782674,480000
lenet_tile_conv2d_2_110101554,1,1,1,14,14,6,5,5,6,16,1,10,10,16,1,10,10,1,5,5,4,1,14,14,6,5,5,6,1,1,10,10,1,16.0,1299920.0,0.0142,125218.0,0.012999,0.036926,2.600423,0.0001845858,480000
