configuration,strides,dilations,input_batch,input_width,input_height,input_channel,kernel_width,kernel_height,kernel_input_channels,kernel_output_channels,output_batch,output_width,output_height,output_channel,unroll_full,unroll_factor,actual_input_batch,actual_input_width,actual_input_height,actual_input_channel,actual_kernel_width,actual_kernel_height,actual_kernel_input_channels,actual_kernel_output_channels,actual_output_batch,actual_output_width,actual_output_height,actual_output_channel,number_of_tiles,simulation_cycles,total_power,area,runtime_in_s,gflops,gflops_per_watt,energy_consumed,flop_count
lenet_unroll_conv2d_1_unroll_0_factor_0,1,1,1,32,32,1,5,5,1,6,1,28,28,6,0,0,1,32,32,1,5,5,1,1,1,28,28,1,6.0,362712.0,0.00763,63115.0,0.003627,0.064847,8.498952,2.767401e-05,235200
lenet_unroll_conv2d_1_unroll_1_factor_0,1,1,1,32,32,1,5,5,1,6,1,28,28,6,1,0,1,32,32,1,5,5,1,1,1,28,28,1,6.0,362712.0,0.00763,62646.0,0.003627,0.064847,8.498952,2.767401e-05,235200
lenet_unroll_conv2d_1_unroll_2_factor_4,1,1,1,32,32,1,5,5,1,6,1,28,28,6,2,4,1,32,32,1,5,5,1,1,1,28,28,1,6.0,362712.0,0.00735,62752.0,0.003627,0.064847,8.822721,2.665845e-05,235200
lenet_unroll_conv2d_1_unroll_2_factor_0,1,1,1,32,32,1,5,5,1,6,1,28,28,6,2,0,1,32,32,1,5,5,1,1,1,28,28,1,6.0,362712.0,0.00731,63002.0,0.003627,0.064847,8.870999,2.651337e-05,235200
lenet_unroll_conv2d_1_unroll_3_factor_4,1,1,1,32,32,1,5,5,1,6,1,28,28,6,3,4,1,32,32,1,5,5,1,1,1,28,28,1,6.0,362712.0,0.00758,65839.0,0.003627,0.064847,8.555013,2.749266e-05,235200
lenet_unroll_conv2d_1_unroll_3_factor_0,1,1,1,32,32,1,5,5,1,6,1,28,28,6,3,0,1,32,32,1,5,5,1,1,1,28,28,1,6.0,362712.0,0.00772,65821.0,0.003627,0.064847,8.39987,2.800044e-05,235200
lenet_unroll_conv2d_2_unroll_0_factor_0,1,1,1,14,14,6,5,5,6,16,1,10,10,16,0,0,1,14,14,6,5,5,6,1,1,10,10,1,16.0,982752.0,0.00317,30792.0,0.009828,0.04884,15.40694,3.115476e-05,480000
lenet_unroll_conv2d_2_unroll_1_factor_4,1,1,1,14,14,6,5,5,6,16,1,10,10,16,1,4,1,14,14,6,5,5,6,1,1,10,10,1,16.0,982752.0,0.00312,30851.0,0.009828,0.04884,15.653846,3.066336e-05,480000
lenet_unroll_conv2d_2_unroll_1_factor_0,1,1,1,14,14,6,5,5,6,16,1,10,10,16,1,0,1,14,14,6,5,5,6,1,1,10,10,1,16.0,982752.0,0.00312,30490.0,0.009828,0.04884,15.653846,3.066336e-05,480000
lenet_unroll_conv2d_2_unroll_2_factor_4,1,1,1,14,14,6,5,5,6,16,1,10,10,16,2,4,1,14,14,6,5,5,6,1,1,10,10,1,16.0,966752.0,0.00729,67684.0,0.009668,0.049648,6.810425,7.047972e-05,480000
lenet_unroll_conv2d_2_unroll_2_factor_0,1,1,1,14,14,6,5,5,6,16,1,10,10,16,2,0,1,14,14,6,5,5,6,1,1,10,10,1,16.0,966752.0,0.00718,67687.0,0.009668,0.049648,6.914763,6.941624e-05,480000
lenet_unroll_conv2d_2_unroll_3_factor_4,1,1,1,14,14,6,5,5,6,16,1,10,10,16,3,4,1,14,14,6,5,5,6,1,1,10,10,1,16.0,734784.0,0.0356,301300.0,0.007348,0.065324,1.834944,0.0002615888,480000
lenet_unroll_conv2d_2_unroll_3_factor_0,1,1,1,14,14,6,5,5,6,16,1,10,10,16,3,0,1,14,14,6,5,5,6,1,1,10,10,1,16.0,734784.0,0.0359,299913.0,0.007348,0.065324,1.81961,0.0002637932,480000
lenet_unroll_conv2d_3_unroll_0_factor_0,1,1,1,5,5,16,5,5,16,120,1,1,1,120,0,0,1,5,5,8,5,5,8,1,1,1,1,1,240.0,195360.0,0.00265,22444.0,0.001954,0.04913,18.539623,5.1781e-06,96000
lenet_unroll_conv2d_3_unroll_1_factor_4,1,1,1,5,5,16,5,5,16,120,1,1,1,120,1,4,1,5,5,8,5,5,8,1,1,1,1,1,240.0,195360.0,0.00267,22496.0,0.001954,0.04913,18.400749,5.21718e-06,96000
lenet_unroll_conv2d_3_unroll_1_factor_0,1,1,1,5,5,16,5,5,16,120,1,1,1,120,1,0,1,5,5,8,5,5,8,1,1,1,1,1,240.0,195360.0,0.00294,22384.0,0.001954,0.04913,16.710884,5.74476e-06,96000
lenet_unroll_conv2d_3_unroll_2_factor_4,1,1,1,5,5,16,5,5,16,120,1,1,1,120,2,4,1,5,5,8,5,5,8,1,1,1,1,1,240.0,192960.0,0.00812,68816.0,0.00193,0.049741,6.125739,1.56716e-05,96000
lenet_unroll_conv2d_3_unroll_2_factor_0,1,1,1,5,5,16,5,5,16,120,1,1,1,120,2,0,1,5,5,8,5,5,8,1,1,1,1,1,240.0,192960.0,0.00802,68098.0,0.00193,0.049741,6.20212,1.54786e-05,96000
lenet_unroll_conv2d_3_unroll_3_factor_4,1,1,1,5,5,16,5,5,16,120,1,1,1,120,3,4,1,5,5,8,5,5,8,1,1,1,1,1,240.0,192720.0,0.0513,336377.0,0.001927,0.049818,0.971111,9.88551e-05,96000
lenet_unroll_conv2d_3_unroll_3_factor_0,1,1,1,5,5,16,5,5,16,120,1,1,1,120,3,0,1,5,5,8,5,5,8,1,1,1,1,1,240.0,192720.0,0.0508,343548.0,0.001927,0.049818,0.980669,9.78916e-05,96000
