configuration,input_batch,input_width,input_height,weight_batch,weight_width,weight_height,output_batch,output_width,output_height,permuation_order_1,permuation_order_2,permuation_order_3,permuation_order_4,actual_input_batch,actual_input_width,actual_input_height,actual_weight_batch,actual_weight_width,actual_weight_height,actual_output_batch,actual_output_width,actual_output_height,number_of_tiles,simulation_cycles,total_power,area,runtime_in_s,gflops,gflops_per_watt,energy_consumed,flop_count
lenet_permute_matmul_1_0123,1,1,120,1,120,84,1,1,84,0,1,2,3,1,1,120,1,120,84,1,1,84,1,85748,0.00421,34120.0,0.000857,0.023524,5.587648,3.60797e-06,20160
lenet_permute_matmul_1_0132,1,1,120,1,120,84,1,1,84,0,1,3,2,1,1,120,1,120,84,1,1,84,1,95852,0.004,34317.0,0.000959,0.021022,5.2555,3.836e-06,20160
lenet_permute_matmul_1_0213,1,1,120,1,120,84,1,1,84,0,2,1,3,1,1,120,1,120,84,1,1,84,1,85748,0.00413,34324.0,0.000857,0.023524,5.695884,3.53941e-06,20160
lenet_permute_matmul_1_0231,1,1,120,1,120,84,1,1,84,0,3,1,2,1,1,120,1,120,84,1,1,84,1,85748,0.00422,34190.0,0.000857,0.023524,5.574408,3.61654e-06,20160
lenet_permute_matmul_1_0312,1,1,120,1,120,84,1,1,84,0,2,3,1,1,1,120,1,120,84,1,1,84,1,95852,0.00391,33540.0,0.000959,0.021022,5.376471,3.74969e-06,20160
lenet_permute_matmul_1_0321,1,1,120,1,120,84,1,1,84,0,3,2,1,1,1,120,1,120,84,1,1,84,1,95852,0.00391,33540.0,0.000959,0.021022,5.376471,3.74969e-06,20160
lenet_permute_matmul_2_0123,1,1,84,1,84,10,1,1,10,0,1,2,3,1,1,84,1,84,10,1,1,10,1,7652,0.00601,52803.0,7.7e-05,0.021818,3.630283,4.6277e-07,1680
lenet_permute_matmul_2_0132,1,1,84,1,84,10,1,1,10,0,1,3,2,1,1,84,1,84,10,1,1,10,1,4706,0.00659,61364.0,4.7e-05,0.035745,5.424127,3.0973e-07,1680
lenet_permute_matmul_2_0213,1,1,84,1,84,10,1,1,10,0,2,1,3,1,1,84,1,84,10,1,1,10,1,7652,0.00595,52454.0,7.7e-05,0.021818,3.666891,4.5815e-07,1680
lenet_permute_matmul_2_0231,1,1,84,1,84,10,1,1,10,0,3,1,2,1,1,84,1,84,10,1,1,10,1,7652,0.00595,52441.0,7.7e-05,0.021818,3.666891,4.5815e-07,1680
lenet_permute_matmul_2_0312,1,1,84,1,84,10,1,1,10,0,2,3,1,1,1,84,1,84,10,1,1,10,1,4706,0.00661,61975.0,4.7e-05,0.035745,5.407716,3.1067e-07,1680
lenet_permute_matmul_2_0321,1,1,84,1,84,10,1,1,10,0,3,2,1,1,1,84,1,84,10,1,1,10,1,4706,0.00659,61931.0,4.7e-05,0.035745,5.424127,3.0973e-07,1680
