configuration,input_batch,input_width,input_height,weight_batch,weight_width,weight_height,output_batch,output_width,output_height,tiled_output_batch,tiled_output_width,tiled_output_height,tiled_kernel_width,actual_input_batch,actual_input_width,actual_input_height,actual_weight_batch,actual_weight_width,actual_weight_height,actual_output_batch,actual_output_width,actual_output_height,number_of_tiles,simulation_cycles,total_power,area,runtime_in_s,gflops,gflops_per_watt,energy_consumed,flop_count
lenet_tile_matmul_1_0000,1,1,120,1,120,84,1,1,84,0,0,0,0,1,1,120,1,120,84,1,1,84,1,85837,0.00438,36110.0,0.000858,0.023497,5.364612,3.75804e-06,20160
lenet_tile_matmul_1_1144,1,1,120,1,120,84,1,1,84,1,1,4,4,1,1,120,1,120,84,1,1,84,1,62968,0.00771,70627.0,0.00063,0.032,4.150454,4.8573e-06,20160
lenet_tile_matmul_1_1148,1,1,120,1,120,84,1,1,84,1,1,4,8,1,1,120,1,120,84,1,1,84,1,62968,0.011,103126.0,0.00063,0.032,2.909091,6.93e-06,20160
lenet_tile_matmul_1_11416,1,1,120,1,120,84,1,1,84,1,1,4,16,1,1,120,1,120,84,1,1,84,1,98458,0.00578,50630.0,0.000985,0.020467,3.541003,5.6933e-06,20160
lenet_tile_matmul_1_11432,1,1,120,1,120,84,1,1,84,1,1,4,32,1,1,120,1,120,84,1,1,84,1,97030,0.00572,50543.0,0.00097,0.020784,3.633566,5.5484e-06,20160
lenet_tile_matmul_1_11464,1,1,120,1,120,84,1,1,84,1,1,4,64,1,1,120,1,120,84,1,1,84,1,95728,0.00688,59602.0,0.000957,0.021066,3.061919,6.58416e-06,20160
lenet_tile_matmul_1_114120,1,1,120,1,120,84,1,1,84,1,1,4,120,1,1,120,1,120,84,1,1,84,1,95791,0.00543,47965.0,0.000958,0.021044,3.875506,5.20194e-06,20160
lenet_tile_matmul_1_1184,1,1,120,1,120,84,1,1,84,1,1,8,4,1,1,120,1,120,84,1,1,84,1,85436,0.00602,49724.0,0.000854,0.023607,3.921429,5.14108e-06,20160
lenet_tile_matmul_1_1188,1,1,120,1,120,84,1,1,84,1,1,8,8,1,1,120,1,120,84,1,1,84,1,81161,0.00722,60204.0,0.000812,0.024828,3.438781,5.86264e-06,20160
lenet_tile_matmul_1_11816,1,1,120,1,120,84,1,1,84,1,1,8,16,1,1,120,1,120,84,1,1,84,1,89048,0.00519,40161.0,0.00089,0.022652,4.364547,4.6191e-06,20160
lenet_tile_matmul_1_11832,1,1,120,1,120,84,1,1,84,1,1,8,32,1,1,120,1,120,84,1,1,84,1,96947,0.00621,54797.0,0.000969,0.020805,3.350242,6.01749e-06,20160
lenet_tile_matmul_1_11864,1,1,120,1,120,84,1,1,84,1,1,8,64,1,1,120,1,120,84,1,1,84,1,86195,0.0048,42791.0,0.000862,0.023387,4.872292,4.1376e-06,20160
