configuration,input_batch,input_width,input_height,weight_batch,weight_width,weight_height,output_batch,output_width,output_height,unroll_full,unroll_factor,actual_input_batch,actual_input_width,actual_input_height,actual_weight_batch,actual_weight_width,actual_weight_height,actual_output_batch,actual_output_width,actual_output_height,number_of_tiles,simulation_cycles,total_power,area,runtime_in_s,gflops,gflops_per_watt,energy_consumed,flop_count
lenet_unroll_matmul_1_unroll_0_factor_0,1,1,120,1,120,84,1,1,84,0,0,1,1,30,1,30,28,1,1,28,12.0,41688.0,0.00141,12375.0,0.000417,0.048345,34.287234,5.8797e-07,20160
lenet_unroll_matmul_1_unroll_1_factor_4,1,1,120,1,120,84,1,1,84,1,4,1,1,30,1,30,28,1,1,28,12.0,31632.0,0.00843,68277.0,0.000316,0.063797,7.567853,2.66388e-06,20160
lenet_unroll_matmul_1_unroll_1_factor_8,1,1,120,1,120,84,1,1,84,1,8,1,1,30,1,30,28,1,1,28,12.0,31632.0,0.00835,68471.0,0.000316,0.063797,7.640359,2.6386e-06,20160
lenet_unroll_matmul_1_unroll_1_factor_16,1,1,120,1,120,84,1,1,84,1,16,1,1,30,1,30,28,1,1,28,12.0,31632.0,0.00831,68440.0,0.000316,0.063797,7.677136,2.62596e-06,20160
lenet_unroll_matmul_1_unroll_1_factor_0,1,1,120,1,120,84,1,1,84,1,0,1,1,30,1,30,28,1,1,28,12.0,31632.0,0.0085,69175.0,0.000316,0.063797,7.505529,2.686e-06,20160
lenet_unroll_matmul_1_unroll_2_factor_4,1,1,120,1,120,84,1,1,84,2,4,1,1,30,1,30,28,1,1,28,12.0,16008.0,0.0219,178391.0,0.00016,0.126,5.753425,3.504e-06,20160
lenet_unroll_matmul_1_unroll_2_factor_8,1,1,120,1,120,84,1,1,84,2,8,1,1,30,1,30,28,1,1,28,12.0,16452.0,0.0468,372298.0,0.000165,0.122182,2.610726,7.722e-06,20160
lenet_unroll_matmul_1_unroll_2_factor_16,1,1,120,1,120,84,1,1,84,2,16,1,1,30,1,30,28,1,1,28,12.0,20880.0,0.0827,605174.0,0.000209,0.096459,1.166372,1.72843e-05,20160
lenet_unroll_matmul_1_unroll_2_factor_0,1,1,120,1,120,84,1,1,84,2,0,1,1,30,1,30,28,1,1,28,12.0,11664.0,0.141,950360.0,0.000117,0.172308,1.222043,1.6497e-05,20160
lenet_unroll_matmul_2_unroll_0_factor_0,1,1,84,1,84,10,1,1,10,0,0,1,1,28,1,28,10,1,1,10,3.0,4266.0,0.00528,45749.0,4.3e-05,0.03907,7.399621,2.2704e-07,1680
lenet_unroll_matmul_2_unroll_1_factor_4,1,1,84,1,84,10,1,1,10,1,4,1,1,28,1,28,10,1,1,10,3.0,2700.0,0.00822,65609.0,2.7e-05,0.062222,7.569586,2.2194e-07,1680
lenet_unroll_matmul_2_unroll_1_factor_8,1,1,84,1,84,10,1,1,10,1,8,1,1,28,1,28,10,1,1,10,3.0,2700.0,0.00815,65408.0,2.7e-05,0.062222,7.634601,2.2005e-07,1680
lenet_unroll_matmul_2_unroll_1_factor_16,1,1,84,1,84,10,1,1,10,1,16,1,1,28,1,28,10,1,1,10,3.0,2700.0,0.00787,65241.0,2.7e-05,0.062222,7.906226,2.1249e-07,1680
lenet_unroll_matmul_2_unroll_1_factor_0,1,1,84,1,84,10,1,1,10,1,0,1,1,28,1,28,10,1,1,10,3.0,2700.0,0.00814,66113.0,2.7e-05,0.062222,7.64398,2.1978e-07,1680
lenet_unroll_matmul_2_unroll_2_factor_4,1,1,84,1,84,10,1,1,10,2,4,1,1,28,1,28,10,1,1,10,3.0,1560.0,0.03,225261.0,1.6e-05,0.105,3.5,4.8e-07,1680
lenet_unroll_matmul_2_unroll_2_factor_8,1,1,84,1,84,10,1,1,10,2,8,1,1,28,1,28,10,1,1,10,3.0,1221.0,0.0509,349491.0,1.2e-05,0.14,2.750491,6.108e-07,1680
lenet_unroll_matmul_2_unroll_2_factor_0,1,1,84,1,84,10,1,1,10,2,0,1,1,28,1,28,10,1,1,10,3.0,1137.0,0.05,333846.0,1.1e-05,0.152727,3.05454,5.5e-07,1680
