configuration,strides,dilation,input_batch,input_width,input_height,input_channel,kernel_width,kernel_height,kernel_input_channel,kernel_multiplier,output_batch,output_width,output_height,output_channel,output_multiplier,permuation_order_1,permuation_order_2,permuation_order_3,permuation_order_4,permuation_order_5,permuation_order_6,actual_input_batch,actual_input_width,actual_input_height,actual_input_channel,actual_kernel_width,actual_kernel_height,actual_kernel_input_channels,actual_output_batch,actual_output_width,actual_output_height,actual_output_channel,number_of_tiles,simulation_cycles,total_power,area,runtime_in_s,gflops,gflops_per_watt,energy_consumed,flop_count
mobilenetv3_large_permute_depthwise_conv2d_multiplier_1_012345,1,1,1,114,114,16,3,3,16,1,1,112,112,16,1,0,1,2,3,4,5,1,114,114,1,3,3,1,1,112,112,1,16.0,8266560.0,0.00706,58371.0,0.082666,0.043702,6.190085,0.00058362196,3612672
mobilenetv3_large_permute_depthwise_conv2d_multiplier_1_031245,1,1,1,114,114,16,3,3,16,1,1,112,112,16,1,0,2,3,1,4,5,1,114,114,1,3,3,1,1,112,112,1,16.0,8266560.0,0.00708,58476.0,0.082666,0.043702,6.172599,0.00058527528,3612672
mobilenetv3_large_permute_depthwise_conv2d_multiplier_1_031254,1,1,1,114,114,16,3,3,16,1,1,112,112,16,1,0,2,3,1,5,4,1,114,114,1,3,3,1,1,112,112,1,16.0,8266672.0,0.00752,62345.0,0.082667,0.043702,5.811436,0.00062165584,3612672
mobilenetv3_large_permute_depthwise_conv2d_multiplier_1_032145,1,1,1,114,114,16,3,3,16,1,1,112,112,16,1,0,3,2,1,4,5,1,114,114,1,3,3,1,1,112,112,1,16.0,8266560.0,0.00717,58013.0,0.082666,0.043702,6.095119,0.00059271522,3612672
mobilenetv3_large_permute_depthwise_conv2d_multiplier_1_032154,1,1,1,114,114,16,3,3,16,1,1,112,112,16,1,0,3,2,1,5,4,1,114,114,1,3,3,1,1,112,112,1,16.0,8266672.0,0.0073,62201.0,0.082667,0.043702,5.986575,0.0006034691,3612672
mobilenetv3_large_permute_depthwise_conv2d_multiplier_2_012345,2,1,1,113,113,64,3,3,64,1,1,56,56,64,1,0,1,2,3,4,5,1,113,113,1,3,3,1,1,56,56,1,64.0,10719616.0,0.00755,62845.0,0.107196,0.033702,4.463841,0.0008093298,3612672
mobilenetv3_large_permute_depthwise_conv2d_multiplier_2_031245,2,1,1,113,113,64,3,3,64,1,1,56,56,64,1,0,2,3,1,4,5,1,113,113,1,3,3,1,1,56,56,1,64.0,10719616.0,0.0076,61870.0,0.107196,0.033702,4.434474,0.0008146896,3612672
mobilenetv3_large_permute_depthwise_conv2d_multiplier_2_031254,2,1,1,113,113,64,3,3,64,1,1,56,56,64,1,0,2,3,1,5,4,1,113,113,1,3,3,1,1,56,56,1,64.0,10719616.0,0.00749,61432.0,0.107196,0.033702,4.499599,0.00080289804,3612672
mobilenetv3_large_permute_depthwise_conv2d_multiplier_2_032145,2,1,1,113,113,64,3,3,64,1,1,56,56,64,1,0,3,2,1,4,5,1,113,113,1,3,3,1,1,56,56,1,64.0,10719616.0,0.00749,61842.0,0.107196,0.033702,4.499599,0.00080289804,3612672
mobilenetv3_large_permute_depthwise_conv2d_multiplier_2_032154,2,1,1,113,113,64,3,3,64,1,1,56,56,64,1,0,3,2,1,5,4,1,113,113,1,3,3,1,1,56,56,1,64.0,10719616.0,0.00749,62018.0,0.107196,0.033702,4.499599,0.00080289804,3612672
mobilenetv3_large_permute_depthwise_conv2d_multiplier_3_012345,1,1,1,58,58,72,3,3,72,1,1,56,56,72,1,0,1,2,3,4,5,1,58,58,8,3,3,8,1,56,56,8,9.0,10312569.0,0.0119,97490.0,0.103126,0.039411,3.311849,0.0012271994,4064256
mobilenetv3_large_permute_depthwise_conv2d_multiplier_3_031245,1,1,1,58,58,72,3,3,72,1,1,56,56,72,1,0,2,3,1,4,5,1,58,58,8,3,3,8,1,56,56,8,9.0,8030745.0,0.0123,101574.0,0.080307,0.050609,4.114553,0.0009877761,4064256
mobilenetv3_large_permute_depthwise_conv2d_multiplier_3_031254,1,1,1,58,58,72,3,3,72,1,1,56,56,72,1,0,2,3,1,5,4,1,58,58,8,3,3,8,1,56,56,8,9.0,8030745.0,0.0125,101646.0,0.080307,0.050609,4.04872,0.0010038375,4064256
mobilenetv3_large_permute_depthwise_conv2d_multiplier_3_032145,1,1,1,58,58,72,3,3,72,1,1,56,56,72,1,0,3,2,1,4,5,1,58,58,8,3,3,8,1,56,56,8,9.0,8030745.0,0.0124,102430.0,0.080307,0.050609,4.081371,0.0009958068,4064256
mobilenetv3_large_permute_depthwise_conv2d_multiplier_3_032154,1,1,1,58,58,72,3,3,72,1,1,56,56,72,1,0,3,2,1,5,4,1,58,58,8,3,3,8,1,56,56,8,9.0,8030745.0,0.0122,101117.0,0.080307,0.050609,4.148279,0.0009797454,4064256
mobilenetv3_large_permute_depthwise_conv2d_multiplier_4_012345,2,1,1,59,59,72,5,5,72,1,1,28,28,72,1,0,1,2,3,4,5,1,59,59,8,5,5,8,1,28,28,8,9.0,6599421.0,0.0174,144201.0,0.065994,0.042768,2.457931,0.0011482956,2822400
mobilenetv3_large_permute_depthwise_conv2d_multiplier_4_031245,2,1,1,59,59,72,5,5,72,1,1,28,28,72,1,0,2,3,1,4,5,1,59,59,8,5,5,8,1,28,28,8,9.0,5128425.0,0.0178,149759.0,0.051284,0.055035,3.091854,0.0009128552,2822400
mobilenetv3_large_permute_depthwise_conv2d_multiplier_4_031254,2,1,1,59,59,72,5,5,72,1,1,28,28,72,1,0,2,3,1,5,4,1,59,59,8,5,5,8,1,28,28,8,9.0,5128425.0,0.0181,150332.0,0.051284,0.055035,3.040608,0.0009282404,2822400
mobilenetv3_large_permute_depthwise_conv2d_multiplier_4_032145,2,1,1,59,59,72,5,5,72,1,1,28,28,72,1,0,3,2,1,4,5,1,59,59,8,5,5,8,1,28,28,8,9.0,5128425.0,0.018,150537.0,0.051284,0.055035,3.0575,0.000923112,2822400
mobilenetv3_large_permute_depthwise_conv2d_multiplier_4_032154,2,1,1,59,59,72,5,5,72,1,1,28,28,72,1,0,3,2,1,5,4,1,59,59,8,5,5,8,1,28,28,8,9.0,5128425.0,0.0183,150538.0,0.051284,0.055035,3.007377,0.0009384972,2822400
mobilenetv3_large_permute_depthwise_conv2d_multiplier_5_012345,1,1,1,32,32,120,5,5,120,1,1,28,28,120,1,0,1,2,3,4,5,1,32,32,30,5,5,30,1,28,28,30,4.0,10960768.0,0.0128,110683.0,0.109608,0.042917,3.352891,0.0014029824,4704000
mobilenetv3_large_permute_depthwise_conv2d_multiplier_5_031245,1,1,1,32,32,120,5,5,120,1,1,28,28,120,1,0,2,3,1,4,5,1,32,32,30,5,5,30,1,28,28,30,4.0,8518040.0,0.0129,113689.0,0.08518,0.055224,4.28093,0.001098822,4704000
mobilenetv3_large_permute_depthwise_conv2d_multiplier_5_031254,1,1,1,32,32,120,5,5,120,1,1,28,28,120,1,0,2,3,1,5,4,1,32,32,30,5,5,30,1,28,28,30,4.0,8518040.0,0.0128,112384.0,0.08518,0.055224,4.314375,0.001090304,4704000
mobilenetv3_large_permute_depthwise_conv2d_multiplier_5_032145,1,1,1,32,32,120,5,5,120,1,1,28,28,120,1,0,3,2,1,4,5,1,32,32,30,5,5,30,1,28,28,30,4.0,8518040.0,0.0128,113496.0,0.08518,0.055224,4.314375,0.001090304,4704000
mobilenetv3_large_permute_depthwise_conv2d_multiplier_5_032154,1,1,1,32,32,120,5,5,120,1,1,28,28,120,1,0,3,2,1,5,4,1,32,32,30,5,5,30,1,28,28,30,4.0,8518040.0,0.0129,113047.0,0.08518,0.055224,4.28093,0.001098822,4704000
mobilenetv3_large_permute_depthwise_conv2d_multiplier_6_012345,1,1,1,32,32,120,5,5,120,1,1,28,28,120,1,0,1,2,3,4,5,1,32,32,30,5,5,30,1,28,28,30,4.0,10960768.0,0.0128,110366.0,0.109608,0.042917,3.352891,0.0014029824,4704000
mobilenetv3_large_permute_depthwise_conv2d_multiplier_6_031245,1,1,1,32,32,120,5,5,120,1,1,28,28,120,1,0,2,3,1,4,5,1,32,32,30,5,5,30,1,28,28,30,4.0,8518040.0,0.0129,114366.0,0.08518,0.055224,4.28093,0.001098822,4704000
mobilenetv3_large_permute_depthwise_conv2d_multiplier_6_031254,1,1,1,32,32,120,5,5,120,1,1,28,28,120,1,0,2,3,1,5,4,1,32,32,30,5,5,30,1,28,28,30,4.0,8518040.0,0.0126,112493.0,0.08518,0.055224,4.382857,0.001073268,4704000
mobilenetv3_large_permute_depthwise_conv2d_multiplier_6_032145,1,1,1,32,32,120,5,5,120,1,1,28,28,120,1,0,3,2,1,4,5,1,32,32,30,5,5,30,1,28,28,30,4.0,8518040.0,0.0129,113805.0,0.08518,0.055224,4.28093,0.001098822,4704000
mobilenetv3_large_permute_depthwise_conv2d_multiplier_6_032154,1,1,1,32,32,120,5,5,120,1,1,28,28,120,1,0,3,2,1,5,4,1,32,32,30,5,5,30,1,28,28,30,4.0,8518040.0,0.013,113726.0,0.08518,0.055224,4.248,0.00110734,4704000
mobilenetv3_large_permute_depthwise_conv2d_multiplier_7_012345,2,1,1,29,29,240,3,3,240,1,1,14,14,240,1,0,1,2,3,4,5,1,29,29,30,3,3,30,1,14,14,30,8.0,3038984.0,0.0117,98881.0,0.03039,0.027862,2.381368,0.000355563,846720
mobilenetv3_large_permute_depthwise_conv2d_multiplier_7_031245,2,1,1,29,29,240,3,3,240,1,1,14,14,240,1,0,2,3,1,4,5,1,29,29,30,3,3,30,1,14,14,30,8.0,2572904.0,0.0125,103547.0,0.025729,0.032909,2.63272,0.0003216125,846720
mobilenetv3_large_permute_depthwise_conv2d_multiplier_7_031254,2,1,1,29,29,240,3,3,240,1,1,14,14,240,1,0,2,3,1,5,4,1,29,29,30,3,3,30,1,14,14,30,8.0,2572904.0,0.012,103212.0,0.025729,0.032909,2.742417,0.000308748,846720
