configuration,strides,dilation,input_batch,input_width,input_height,input_channel,kernel_width,kernel_height,kernel_input_channel,kernel_multiplier,output_batch,output_width,output_height,output_channel,output_multiplier,unroll_full,unroll_factor,actual_input_batch,actual_input_width,actual_input_height,actual_input_channel,actual_kernel_width,actual_kernel_height,actual_kernel_input_channels,actual_output_batch,actual_output_width,actual_output_height,actual_output_channel,number_of_tiles,simulation_cycles,total_power,area,runtime_in_s,gflops,gflops_per_watt,energy_consumed,flop_count
mobilenetv3_large_unroll_depthwise_conv2d_multiplier_1_unroll_0_factor_0,1,1,1,114,114,16,3,3,16,1,1,112,112,16,1,0,0,1,114,114,1,3,3,1,1,112,112,1,16.0,5822400.0,0.00397,35181.0,0.058224,0.062048,15.629219,0.00023114928,3612672
mobilenetv3_large_unroll_depthwise_conv2d_multiplier_1_unroll_1_factor_0,1,1,1,114,114,16,3,3,16,1,1,112,112,16,1,1,0,1,114,114,1,3,3,1,1,112,112,1,16.0,5822400.0,0.00387,35648.0,0.058224,0.062048,16.033075,0.00022532688,3612672
mobilenetv3_large_unroll_depthwise_conv2d_multiplier_1_unroll_2_factor_0,1,1,1,114,114,16,3,3,16,1,1,112,112,16,1,2,0,1,114,114,1,3,3,1,1,112,112,1,16.0,5824192.0,0.00373,34785.0,0.058242,0.062029,16.629759,0.00021724266,3612672
mobilenetv3_large_unroll_depthwise_conv2d_multiplier_1_unroll_3_factor_0,1,1,1,114,114,16,3,3,16,1,1,112,112,16,1,3,0,1,114,114,1,3,3,1,1,112,112,1,16.0,5824192.0,0.00371,34790.0,0.058242,0.062029,16.719407,0.00021607782,3612672
mobilenetv3_large_unroll_depthwise_conv2d_multiplier_2_unroll_0_factor_0,2,1,1,113,113,64,3,3,64,1,1,56,56,64,1,0,0,1,113,113,1,3,3,1,1,56,56,1,64.0,5824768.0,0.00373,34753.0,0.058248,0.062022,16.627882,0.00021726504,3612672
mobilenetv3_large_unroll_depthwise_conv2d_multiplier_2_unroll_1_factor_0,2,1,1,113,113,64,3,3,64,1,1,56,56,64,1,1,0,1,113,113,1,3,3,1,1,56,56,1,64.0,5824768.0,0.00392,35857.0,0.058248,0.062022,15.821939,0.00022833216,3612672
mobilenetv3_large_unroll_depthwise_conv2d_multiplier_2_unroll_2_factor_0,2,1,1,113,113,64,3,3,64,1,1,56,56,64,1,2,0,1,113,113,1,3,3,1,1,56,56,1,64.0,5828352.0,0.00381,35028.0,0.058284,0.061984,16.268766,0.00022206204,3612672
mobilenetv3_large_unroll_depthwise_conv2d_multiplier_2_unroll_3_factor_0,2,1,1,113,113,64,3,3,64,1,1,56,56,64,1,3,0,1,113,113,1,3,3,1,1,56,56,1,64.0,5828352.0,0.0038,35027.0,0.058284,0.061984,16.311579,0.0002214792,3612672
mobilenetv3_large_unroll_depthwise_conv2d_multiplier_3_unroll_0_factor_0,1,1,1,58,58,72,3,3,72,1,1,56,56,72,1,0,0,1,58,58,24,3,3,24,1,56,56,24,3.0,8815470.0,0.00372,36433.0,0.088155,0.046104,12.393548,0.0003279366,4064256
mobilenetv3_large_unroll_depthwise_conv2d_multiplier_3_unroll_1_factor_0,1,1,1,58,58,72,3,3,72,1,1,56,56,72,1,1,0,1,58,58,24,3,3,24,1,56,56,24,3.0,8815470.0,0.00369,34804.0,0.088155,0.046104,12.494309,0.00032529195,4064256
