configuration,strides,dilation,input_batch,input_width,input_height,input_channel,kernel_width,kernel_height,kernel_input_channel,kernel_multiplier,output_batch,output_width,output_height,output_channel,output_multiplier,unroll_full,unroll_factor,actual_input_batch,actual_input_width,actual_input_height,actual_input_channel,actual_kernel_width,actual_kernel_height,actual_kernel_input_channels,actual_output_batch,actual_output_width,actual_output_height,actual_output_channel,number_of_tiles,simulation_cycles,total_power,area,runtime_in_s,gflops,gflops_per_watt,energy_consumed,flop_count
mobilenetv3_large_unroll_depthwise_conv2d_multiplier_9_unroll_0_factor_0,1,1,1,16,16,184,3,3,184,1,1,14,14,184,1,0,0,1,16,16,23,3,3,23,1,14,14,23,8.0,1408192.0,0.0041,37528.0,0.014082,0.046098,11.243415,5.77362e-05,649152
mobilenetv3_large_unroll_depthwise_conv2d_multiplier_9_unroll_3_factor_0,1,1,1,16,16,184,3,3,184,1,1,14,14,184,1,3,0,1,16,16,23,3,3,23,1,14,14,23,8.0,420496.0,0.0591,493141.0,0.004205,0.154376,2.612115,0.0002485155,649152
mobilenetv3_large_unroll_depthwise_conv2d_multiplier_10_unroll_0_factor_0,1,1,1,16,16,184,3,3,184,1,1,14,14,184,1,0,0,1,16,16,23,3,3,23,1,14,14,23,8.0,1408192.0,0.00409,37571.0,0.014082,0.046098,11.270905,5.759538e-05,649152
mobilenetv3_large_unroll_depthwise_conv2d_multiplier_13_unroll_0_factor_0,2,1,1,17,17,672,5,5,672,1,1,7,7,672,1,0,0,1,17,17,8,5,5,8,1,7,7,8,84.0,3401160.0,0.00757,69676.0,0.034012,0.048406,6.394452,0.00025747084,1646400
mobilenetv3_large_unroll_depthwise_conv2d_multiplier_11_unroll_0_factor_0,1,1,1,16,16,480,3,3,480,1,1,14,14,480,1,0,0,1,16,16,32,3,3,32,1,14,14,32,15.0,3675450.0,0.0036,32719.0,0.036755,0.046074,12.798333,0.000132318,1693440
mobilenetv3_large_unroll_depthwise_conv2d_multiplier_12_unroll_0_factor_0,1,1,1,16,16,672,3,3,672,1,1,14,14,672,1,0,0,1,16,16,32,3,3,32,1,14,14,32,21.0,5145630.0,0.00361,32734.0,0.051456,0.046075,12.763158,0.00018575616,2370816
mobilenetv3_large_unroll_depthwise_conv2d_multiplier_14_unroll_0_factor_0,1,1,1,11,11,960,5,5,960,1,1,7,7,960,1,0,0,1,11,11,8,5,5,8,1,7,7,8,120.0,4852080.0,0.00768,73090.0,0.048521,0.048474,6.311719,0.00037264128,2352000
mobilenetv3_large_unroll_depthwise_conv2d_multiplier_15_unroll_0_factor_0,1,1,1,11,11,960,5,5,960,1,1,7,7,960,1,0,0,1,11,11,8,5,5,8,1,7,7,8,120.0,4852080.0,0.00742,71994.0,0.048521,0.048474,6.532884,0.00036002582,2352000
mobilenetv3_large_unroll_depthwise_conv2d_multiplier_13_unroll_3_factor_0,2,1,1,17,17,672,5,5,672,1,1,7,7,672,1,3,0,1,17,17,8,5,5,8,1,7,7,8,84.0,1147104.0,0.0481,386745.0,0.011471,0.143527,2.983929,0.0005517551,1646400
mobilenetv3_large_unroll_depthwise_conv2d_multiplier_10_unroll_3_factor_0,1,1,1,16,16,184,3,3,184,1,1,14,14,184,1,3,0,1,16,16,23,3,3,23,1,14,14,23,8.0,420496.0,0.0597,499164.0,0.004205,0.154376,2.585863,0.0002510385,649152
mobilenetv3_large_unroll_depthwise_conv2d_multiplier_14_unroll_0_factor_0,1,1,1,11,11,960,5,5,960,1,1,7,7,960,1,0,0,1,11,11,8,5,5,8,1,7,7,8,120.0,4852080.0,0.00744,71716.0,0.048521,0.048474,6.515323,0.00036099624,2352000
mobilenetv3_large_unroll_depthwise_conv2d_multiplier_11_unroll_0_factor_0,1,1,1,16,16,480,3,3,480,1,1,14,14,480,1,0,0,1,16,16,32,3,3,32,1,14,14,32,15.0,3675450.0,0.00353,32300.0,0.036755,0.046074,13.052125,0.00012974515,1693440
mobilenetv3_large_unroll_depthwise_conv2d_multiplier_15_unroll_3_factor_0,1,1,1,11,11,960,5,5,960,1,1,7,7,960,1,3,0,1,11,11,8,5,5,8,1,7,7,8,120.0,1638720.0,0.0475,390406.0,0.016387,0.143528,3.021642,0.0007783825,2352000
mobilenetv3_large_unroll_depthwise_conv2d_multiplier_12_unroll_3_factor_0,1,1,1,16,16,672,3,3,672,1,1,14,14,672,1,3,0,1,16,16,32,3,3,32,1,14,14,32,21.0,1515108.0,0.0735,594037.0,0.015151,0.156479,2.128966,0.0011135985,2370816
mobilenetv3_large_unroll_depthwise_conv2d_multiplier_14_unroll_3_factor_0,1,1,1,11,11,960,5,5,960,1,1,7,7,960,1,3,0,1,11,11,8,5,5,8,1,7,7,8,120.0,1638720.0,0.0487,390335.0,0.016387,0.143528,2.947187,0.0007980469,2352000
mobilenetv3_large_unroll_depthwise_conv2d_multiplier_13_unroll_3_factor_0,2,1,1,17,17,672,5,5,672,1,1,7,7,672,1,3,0,1,17,17,8,5,5,8,1,7,7,8,84.0,1147104.0,0.0477,383447.0,0.011471,0.143527,3.008952,0.0005471667,1646400
mobilenetv3_large_unroll_depthwise_conv2d_multiplier_11_unroll_3_factor_0,1,1,1,16,16,480,3,3,480,1,1,14,14,480,1,3,0,1,16,16,32,3,3,32,1,14,14,32,15.0,1082220.0,0.0748,596315.0,0.010822,0.156481,2.091992,0.0008094856,1693440
