configuration,strides,dilation,input_batch,input_width,input_height,input_channel,kernel_width,kernel_height,kernel_input_channel,kernel_multiplier,output_batch,output_width,output_height,output_channel,output_multiplier,permuation_order_1,permuation_order_2,permuation_order_3,permuation_order_4,permuation_order_5,permuation_order_6,actual_input_batch,actual_input_width,actual_input_height,actual_input_channel,actual_kernel_width,actual_kernel_height,actual_kernel_input_channels,actual_output_batch,actual_output_width,actual_output_height,actual_output_channel,number_of_tiles,simulation_cycles,total_power,area,runtime_in_s,gflops,gflops_per_watt,energy_consumed,flop_count
mobilenetv3_small_permute_depthwise_conv2d_multiplier_1_012345,2,1,1,113,113,16,3,3,16,1,1,56,56,16,1,0,1,2,3,4,5,1,113,113,1,3,3,1,1,56,56,1,16.0,2679904.0,0.0076,62864.0,0.026799,0.033702,4.434474,0.0002036724,903168
mobilenetv3_small_permute_depthwise_conv2d_multiplier_1_012354,2,1,1,113,113,16,3,3,16,1,1,56,56,16,1,0,1,2,3,5,4,1,113,113,1,3,3,1,1,56,56,1,16.0,2679904.0,0.00749,61432.0,0.026799,0.033702,4.499599,0.00020072451,903168
mobilenetv3_small_permute_depthwise_conv2d_multiplier_1_013245,2,1,1,113,113,16,3,3,16,1,1,56,56,16,1,0,1,3,2,4,5,1,113,113,1,3,3,1,1,56,56,1,16.0,2679904.0,0.00756,61880.0,0.026799,0.033702,4.457937,0.00020260044,903168
mobilenetv3_small_permute_depthwise_conv2d_multiplier_1_013254,2,1,1,113,113,16,3,3,16,1,1,56,56,16,1,0,1,3,2,5,4,1,113,113,1,3,3,1,1,56,56,1,16.0,2679904.0,0.00749,61432.0,0.026799,0.033702,4.499599,0.00020072451,903168
mobilenetv3_small_permute_depthwise_conv2d_multiplier_1_021345,2,1,1,113,113,16,3,3,16,1,1,56,56,16,1,0,2,1,3,4,5,1,113,113,1,3,3,1,1,56,56,1,16.0,2679904.0,0.00736,61358.0,0.026799,0.033702,4.579076,0.00019724064,903168
mobilenetv3_small_permute_depthwise_conv2d_multiplier_1_021354,2,1,1,113,113,16,3,3,16,1,1,56,56,16,1,0,2,1,3,5,4,1,113,113,1,3,3,1,1,56,56,1,16.0,2679904.0,0.00748,61960.0,0.026799,0.033702,4.505615,0.00020045652,903168
mobilenetv3_small_permute_depthwise_conv2d_multiplier_1_023145,2,1,1,113,113,16,3,3,16,1,1,56,56,16,1,0,3,1,2,4,5,1,113,113,1,3,3,1,1,56,56,1,16.0,2679904.0,0.00749,61842.0,0.026799,0.033702,4.499599,0.00020072451,903168
mobilenetv3_small_permute_depthwise_conv2d_multiplier_1_023154,2,1,1,113,113,16,3,3,16,1,1,56,56,16,1,0,3,1,2,5,4,1,113,113,1,3,3,1,1,56,56,1,16.0,2679904.0,0.00749,62018.0,0.026799,0.033702,4.499599,0.00020072451,903168
mobilenetv3_small_permute_depthwise_conv2d_multiplier_1_031245,2,1,1,113,113,16,3,3,16,1,1,56,56,16,1,0,2,3,1,4,5,1,113,113,1,3,3,1,1,56,56,1,16.0,2679904.0,0.00752,61881.0,0.026799,0.033702,4.481649,0.00020152848,903168
mobilenetv3_small_permute_depthwise_conv2d_multiplier_1_031254,2,1,1,113,113,16,3,3,16,1,1,56,56,16,1,0,2,3,1,5,4,1,113,113,1,3,3,1,1,56,56,1,16.0,2679904.0,0.00749,61432.0,0.026799,0.033702,4.499599,0.00020072451,903168
mobilenetv3_small_permute_depthwise_conv2d_multiplier_1_032145,2,1,1,113,113,16,3,3,16,1,1,56,56,16,1,0,3,2,1,4,5,1,113,113,1,3,3,1,1,56,56,1,16.0,2679904.0,0.00744,61291.0,0.026799,0.033702,4.529839,0.00019938456,903168
