configuration,strides,dilation,input_batch,input_width,input_height,input_channel,kernel_width,kernel_height,kernel_input_channel,kernel_multiplier,output_batch,output_width,output_height,output_channel,output_multiplier,tiled_output_batch,tiled_output_width,tiled_output_height,tiled_input_channel,tiled_kernel_width,tiled_kernel_height,actual_input_batch,actual_input_width,actual_input_height,actual_input_channel,actual_kernel_width,actual_kernel_height,actual_kernel_input_channels,actual_output_batch,actual_output_width,actual_output_height,actual_output_channel,number_of_tiles,simulation_cycles,total_power,area,runtime_in_s,gflops,gflops_per_watt,energy_consumed,flop_count
mobilenetv3_small_tile_depthwise_conv2d_multiplier_1_000000,2,1,1,113,113,16,3,3,16,1,1,56,56,16,1,0,0,0,0,0,0,1,113,113,1,3,3,1,1,56,56,1,16.0,2680752.0,0.00804,65669.0,0.026808,0.03369,4.190299,0.00021553632,903168
mobilenetv3_small_tile_depthwise_conv2d_multiplier_1_144133,2,1,1,113,113,16,3,3,16,1,1,56,56,16,1,1,4,4,1,3,3,1,113,113,1,3,3,1,1,56,56,1,16.0,2707344.0,0.00767,62744.0,0.027073,0.03336,4.349413,0.00020764991,903168
mobilenetv3_small_tile_depthwise_conv2d_multiplier_1_188133,2,1,1,113,113,16,3,3,16,1,1,56,56,16,1,1,8,8,1,3,3,1,113,113,1,3,3,1,1,56,56,1,16.0,2692336.0,0.00756,62914.0,0.026923,0.033546,4.437302,0.00020353788,903168
mobilenetv3_small_tile_depthwise_conv2d_multiplier_1_11616133,2,1,1,113,113,16,3,3,16,1,1,56,56,16,1,1,16,16,1,3,3,1,113,113,1,3,3,1,1,56,56,1,16.0,2690224.0,0.00797,64833.0,0.026902,0.033573,4.212422,0.00021440894,903168
mobilenetv3_small_tile_depthwise_conv2d_multiplier_1_13232133,2,1,1,113,113,16,3,3,16,1,1,56,56,16,1,1,32,32,1,3,3,1,113,113,1,3,3,1,1,56,56,1,16.0,2682512.0,0.00968,76745.0,0.026825,0.033669,3.478202,0.000259666,903168
mobilenetv3_small_tile_depthwise_conv2d_multiplier_2_000000,2,1,1,57,57,72,3,3,72,1,1,28,28,72,1,0,0,0,0,0,0,1,57,57,8,3,3,8,1,28,28,8,9.0,2949318.0,0.013,107069.0,0.029493,0.034451,2.650077,0.000383409,1016064
mobilenetv3_small_tile_depthwise_conv2d_multiplier_2_144433,2,1,1,57,57,72,3,3,72,1,1,28,28,72,1,1,4,4,4,3,3,1,57,57,8,3,3,8,1,28,28,8,9.0,2978676.0,0.0133,110727.0,0.029787,0.034111,2.564737,0.0003961671,1016064
mobilenetv3_small_tile_depthwise_conv2d_multiplier_2_144833,2,1,1,57,57,72,3,3,72,1,1,28,28,72,1,1,4,4,8,3,3,1,57,57,8,3,3,8,1,28,28,8,9.0,2960154.0,0.0131,110486.0,0.029602,0.034324,2.620153,0.0003877862,1016064
mobilenetv3_small_tile_depthwise_conv2d_multiplier_2_188433,2,1,1,57,57,72,3,3,72,1,1,28,28,72,1,1,8,8,4,3,3,1,57,57,8,3,3,8,1,28,28,8,9.0,2977038.0,0.0143,112763.0,0.02977,0.03413,2.386713,0.000425711,1016064
mobilenetv3_small_tile_depthwise_conv2d_multiplier_2_188833,2,1,1,57,57,72,3,3,72,1,1,28,28,72,1,1,8,8,8,3,3,1,57,57,8,3,3,8,1,28,28,8,9.0,2959470.0,0.0135,111279.0,0.029595,0.034332,2.543111,0.0003995325,1016064
mobilenetv3_small_tile_depthwise_conv2d_multiplier_2_11616433,2,1,1,57,57,72,3,3,72,1,1,28,28,72,1,1,16,16,4,3,3,1,57,57,8,3,3,8,1,28,28,8,9.0,2972376.0,0.013,107194.0,0.029724,0.034183,2.629462,0.000386412,1016064
mobilenetv3_small_tile_depthwise_conv2d_multiplier_2_11616833,2,1,1,57,57,72,3,3,72,1,1,28,28,72,1,1,16,16,8,3,3,1,57,57,8,3,3,8,1,28,28,8,9.0,2957184.0,0.0133,108925.0,0.029572,0.034359,2.583383,0.0003933076,1016064
mobilenetv3_small_tile_depthwise_conv2d_multiplier_2_12828433,2,1,1,57,57,72,3,3,72,1,1,28,28,72,1,1,28,28,4,3,3,1,57,57,8,3,3,8,1,28,28,8,9.0,2956644.0,0.0132,107259.0,0.029566,0.034366,2.603485,0.0003902712,1016064
mobilenetv3_small_tile_depthwise_conv2d_multiplier_3_000000,1,1,1,30,30,88,3,3,88,1,1,28,28,88,1,0,0,0,0,0,0,1,30,30,22,3,3,22,1,28,28,22,4.0,3140684.0,0.0192,167218.0,0.031407,0.039541,2.059427,0.0006030144,1241856
mobilenetv3_small_tile_depthwise_conv2d_multiplier_3_144433,1,1,1,30,30,88,3,3,88,1,1,28,28,88,1,1,4,4,4,3,3,1,30,30,22,3,3,22,1,28,28,22,4.0,3185876.0,0.0199,175101.0,0.031859,0.03898,1.958794,0.0006339941,1241856
mobilenetv3_small_tile_depthwise_conv2d_multiplier_3_144833,1,1,1,30,30,88,3,3,88,1,1,28,28,88,1,1,4,4,8,3,3,1,30,30,22,3,3,22,1,28,28,22,4.0,3161768.0,0.0198,173846.0,0.031618,0.039277,1.983687,0.0006260364,1241856
mobilenetv3_small_tile_depthwise_conv2d_multiplier_3_1441633,1,1,1,30,30,88,3,3,88,1,1,28,28,88,1,1,4,4,16,3,3,1,30,30,22,3,3,22,1,28,28,22,4.0,3153732.0,0.0198,172404.0,0.031537,0.039378,1.988788,0.0006244326,1241856
mobilenetv3_small_tile_depthwise_conv2d_multiplier_3_1442233,1,1,1,30,30,88,3,3,88,1,1,28,28,88,1,1,4,4,22,3,3,1,30,30,22,3,3,22,1,28,28,22,4.0,3145500.0,0.0197,171812.0,0.031455,0.03948,2.004061,0.0006196635,1241856
mobilenetv3_small_tile_depthwise_conv2d_multiplier_3_188433,1,1,1,30,30,88,3,3,88,1,1,28,28,88,1,1,8,8,4,3,3,1,30,30,22,3,3,22,1,28,28,22,4.0,3183980.0,0.0198,175395.0,0.03184,0.039003,1.969848,0.000630432,1241856
mobilenetv3_small_tile_depthwise_conv2d_multiplier_3_188833,1,1,1,30,30,88,3,3,88,1,1,28,28,88,1,1,8,8,8,3,3,1,30,30,22,3,3,22,1,28,28,22,4.0,3160748.0,0.02,175648.0,0.031607,0.039291,1.96455,0.00063214,1241856
mobilenetv3_small_tile_depthwise_conv2d_multiplier_3_1881633,1,1,1,30,30,88,3,3,88,1,1,28,28,88,1,1,8,8,16,3,3,1,30,30,22,3,3,22,1,28,28,22,4.0,3153004.0,0.0199,173459.0,0.03153,0.039386,1.979196,0.000627447,1241856
mobilenetv3_small_tile_depthwise_conv2d_multiplier_3_1882233,1,1,1,30,30,88,3,3,88,1,1,28,28,88,1,1,8,8,22,3,3,1,30,30,22,3,3,22,1,28,28,22,4.0,3145196.0,0.0197,172386.0,0.031452,0.039484,2.004264,0.0006196044,1241856
mobilenetv3_small_tile_depthwise_conv2d_multiplier_3_11616433,1,1,1,30,30,88,3,3,88,1,1,28,28,88,1,1,16,16,4,3,3,1,30,30,22,3,3,22,1,28,28,22,4.0,3177876.0,0.0198,170349.0,0.031779,0.039078,1.973636,0.0006292242,1241856
mobilenetv3_small_tile_depthwise_conv2d_multiplier_3_11616833,1,1,1,30,30,88,3,3,88,1,1,28,28,88,1,1,16,16,8,3,3,1,30,30,22,3,3,22,1,28,28,22,4.0,3157668.0,0.0197,170835.0,0.031577,0.039328,1.996345,0.0006220669,1241856
mobilenetv3_small_tile_depthwise_conv2d_multiplier_3_116161633,1,1,1,30,30,88,3,3,88,1,1,28,28,88,1,1,16,16,16,3,3,1,30,30,22,3,3,22,1,28,28,22,4.0,3150932.0,0.0195,168054.0,0.031509,0.039413,2.021179,0.0006144255,1241856
mobilenetv3_small_tile_depthwise_conv2d_multiplier_3_116162233,1,1,1,30,30,88,3,3,88,1,1,28,28,88,1,1,16,16,22,3,3,1,30,30,22,3,3,22,1,28,28,22,4.0,3144180.0,0.0197,169150.0,0.031442,0.039497,2.004924,0.0006194074,1241856
mobilenetv3_small_tile_depthwise_conv2d_multiplier_3_12828433,1,1,1,30,30,88,3,3,88,1,1,28,28,88,1,1,28,28,4,3,3,1,30,30,22,3,3,22,1,28,28,22,4.0,3175764.0,0.019,170407.0,0.031758,0.039104,2.058105,0.000603402,1241856
mobilenetv3_small_tile_depthwise_conv2d_multiplier_3_12828833,1,1,1,30,30,88,3,3,88,1,1,28,28,88,1,1,28,28,8,3,3,1,30,30,22,3,3,22,1,28,28,22,4.0,3156600.0,0.0194,171193.0,0.031566,0.039342,2.027938,0.0006123804,1241856
mobilenetv3_small_tile_depthwise_conv2d_multiplier_3_128281633,1,1,1,30,30,88,3,3,88,1,1,28,28,88,1,1,28,28,16,3,3,1,30,30,22,3,3,22,1,28,28,22,4.0,3143940.0,0.0191,167542.0,0.031439,0.0395,2.068063,0.0006004849,1241856
mobilenetv3_small_tile_depthwise_conv2d_multiplier_4_000000,2,1,1,31,31,96,5,5,96,1,1,14,14,96,1,0,0,0,0,0,0,1,31,31,32,5,5,32,1,14,14,32,3.0,2472504.0,0.0129,108040.0,0.024725,0.038051,2.94969,0.0003189525,940800
mobilenetv3_small_tile_depthwise_conv2d_multiplier_4_144433,2,1,1,31,31,96,5,5,96,1,1,14,14,96,1,1,4,4,4,3,3,1,31,31,32,5,5,32,1,14,14,32,3.0,3465342.0,0.00968,87071.0,0.034653,0.027149,2.804649,0.00033544104,940800
mobilenetv3_small_tile_depthwise_conv2d_multiplier_4_144833,2,1,1,31,31,96,5,5,96,1,1,14,14,96,1,1,4,4,8,3,3,1,31,31,32,5,5,32,1,14,14,32,3.0,2835774.0,0.00918,85584.0,0.028358,0.033176,3.613943,0.00026032644,940800
mobilenetv3_small_tile_depthwise_conv2d_multiplier_4_1441633,2,1,1,31,31,96,5,5,96,1,1,14,14,96,1,1,4,4,16,3,3,1,31,31,32,5,5,32,1,14,14,32,3.0,2823198.0,0.00899,84170.0,0.028232,0.033324,3.706785,0.00025380568,940800
mobilenetv3_small_tile_depthwise_conv2d_multiplier_4_1443233,2,1,1,31,31,96,5,5,96,1,1,14,14,96,1,1,4,4,32,3,3,1,31,31,32,5,5,32,1,14,14,32,3.0,2816862.0,0.00907,84590.0,0.028169,0.033398,3.682249,0.00025549283,940800
mobilenetv3_small_tile_depthwise_conv2d_multiplier_4_188433,2,1,1,31,31,96,5,5,96,1,1,14,14,96,1,1,8,8,4,3,3,1,31,31,32,5,5,32,1,14,14,32,3.0,3456372.0,0.00931,83438.0,0.034564,0.027219,2.923631,0.00032179084,940800
mobilenetv3_small_tile_depthwise_conv2d_multiplier_4_188833,2,1,1,31,31,96,5,5,96,1,1,14,14,96,1,1,8,8,8,3,3,1,31,31,32,5,5,32,1,14,14,32,3.0,2832228.0,0.00937,81118.0,0.028322,0.033218,3.545144,0.00026537714,940800
