configuration,strides,dilation,input_batch,input_width,input_height,input_channel,kernel_width,kernel_height,kernel_input_channel,kernel_multiplier,output_batch,output_width,output_height,output_channel,output_multiplier,unroll_full,unroll_factor,actual_input_batch,actual_input_width,actual_input_height,actual_input_channel,actual_kernel_width,actual_kernel_height,actual_kernel_input_channels,actual_output_batch,actual_output_width,actual_output_height,actual_output_channel,number_of_tiles,simulation_cycles,total_power,area,runtime_in_s,gflops,gflops_per_watt,energy_consumed,flop_count
mobilenetv3_small_unroll_depthwise_conv2d_multiplier_1_unroll_0_factor_0,2,1,1,113,113,16,3,3,16,1,1,56,56,16,1,0,0,1,113,113,1,3,3,1,1,56,56,1,16.0,1456192.0,0.00372,34754.0,0.014562,0.062022,16.672581,5.417064e-05,903168
mobilenetv3_small_unroll_depthwise_conv2d_multiplier_1_unroll_1_factor_0,2,1,1,113,113,16,3,3,16,1,1,56,56,16,1,1,0,1,113,113,1,3,3,1,1,56,56,1,16.0,1456192.0,0.00392,35817.0,0.014562,0.062022,15.821939,5.708304e-05,903168
mobilenetv3_small_unroll_depthwise_conv2d_multiplier_1_unroll_2_factor_0,2,1,1,113,113,16,3,3,16,1,1,56,56,16,1,2,0,1,113,113,1,3,3,1,1,56,56,1,16.0,1457088.0,0.0038,34968.0,0.014571,0.061984,16.311579,5.53698e-05,903168
mobilenetv3_small_unroll_depthwise_conv2d_multiplier_1_unroll_3_factor_0,2,1,1,113,113,16,3,3,16,1,1,56,56,16,1,3,0,1,113,113,1,3,3,1,1,56,56,1,16.0,1457088.0,0.00381,34985.0,0.014571,0.061984,16.268766,5.551551e-05,903168
mobilenetv3_small_unroll_depthwise_conv2d_multiplier_2_unroll_0_factor_0,2,1,1,57,57,72,3,3,72,1,1,28,28,72,1,0,0,1,57,57,24,3,3,24,1,28,28,24,3.0,2203914.0,0.00377,36695.0,0.022039,0.046103,12.228912,8.308703e-05,1016064
mobilenetv3_small_unroll_depthwise_conv2d_multiplier_2_unroll_1_factor_0,2,1,1,57,57,72,3,3,72,1,1,28,28,72,1,1,0,1,57,57,24,3,3,24,1,28,28,24,3.0,2203914.0,0.00375,36261.0,0.022039,0.046103,12.294133,8.264625e-05,1016064
mobilenetv3_small_unroll_depthwise_conv2d_multiplier_2_unroll_2_factor_0,2,1,1,57,57,72,3,3,72,1,1,28,28,72,1,2,0,1,57,57,24,3,3,24,1,28,28,24,3.0,2203914.0,0.00374,35808.0,0.022039,0.046103,12.327005,8.242586e-05,1016064
mobilenetv3_small_unroll_depthwise_conv2d_multiplier_2_unroll_3_factor_4,2,1,1,57,57,72,3,3,72,1,1,28,28,72,1,3,4,1,57,57,24,3,3,24,1,28,28,24,3.0,1357194.0,0.00941,88117.0,0.013572,0.074865,7.955898,0.00012771252,1016064
mobilenetv3_small_unroll_depthwise_conv2d_multiplier_2_unroll_3_factor_8,2,1,1,57,57,72,3,3,72,1,1,28,28,72,1,3,8,1,57,57,24,3,3,24,1,28,28,24,3.0,1230186.0,0.0166,152923.0,0.012302,0.082593,4.975482,0.0002042132,1016064
mobilenetv3_small_unroll_depthwise_conv2d_multiplier_2_unroll_3_factor_16,2,1,1,57,57,72,3,3,72,1,1,28,28,72,1,3,16,1,57,57,24,3,3,24,1,28,28,24,3.0,1173036.0,0.042,343284.0,0.01173,0.086621,2.062405,0.00049266,1016064
