configuration,strides,dilations,input_batch,input_width,input_height,input_channel,kernel_width,kernel_height,kernel_input_channels,kernel_output_channels,output_batch,output_width,output_height,output_channel,permuation_order_1,permuation_order_2,permuation_order_3,permuation_order_4,permuation_order_5,permuation_order_6,permuation_order_7,actual_input_batch,actual_input_width,actual_input_height,actual_input_channel,actual_kernel_width,actual_kernel_height,actual_kernel_input_channels,actual_kernel_output_channels,actual_output_batch,actual_output_width,actual_output_height,actual_output_channel,number_of_tiles,simulation_cycles,total_power,area,runtime_in_s,gflops,gflops_per_watt,energy_consumed,flop_count
resnet18_permute_conv2d_2_0123465,1,1,1,58,58,64,3,3,64,64,1,56,56,64,0,1,2,3,4,6,5,1,58,58,8,3,3,8,1,1,56,56,1,512.0,394032640.0,0.0218,170636.0,3.940326,0.058678,2.691651,0.0858991068,231211008
resnet18_permute_conv2d_2_0132465,1,1,1,58,58,64,3,3,64,64,1,56,56,64,0,1,3,2,4,6,5,1,58,58,8,3,3,8,1,1,56,56,1,512.0,394032640.0,0.0216,170234.0,3.940326,0.058678,2.716574,0.0851110416,231211008
resnet18_permute_conv2d_2_0213465,1,1,1,58,58,64,3,3,64,64,1,56,56,64,0,2,1,3,4,6,5,1,58,58,8,3,3,8,1,1,56,56,1,512.0,394032640.0,0.0214,170921.0,3.940326,0.058678,2.741963,0.0843229764,231211008
resnet18_permute_conv2d_2_0231465,1,1,1,58,58,64,3,3,64,64,1,56,56,64,0,3,1,2,4,6,5,1,58,58,8,3,3,8,1,1,56,56,1,512.0,394032640.0,0.0223,170883.0,3.940326,0.058678,2.6313,0.0878692698,231211008
resnet18_permute_conv2d_2_0312465,1,1,1,58,58,64,3,3,64,64,1,56,56,64,0,2,3,1,4,6,5,1,58,58,8,3,3,8,1,1,56,56,1,512.0,394032640.0,0.0217,170688.0,3.940326,0.058678,2.704055,0.0855050742,231211008
resnet18_permute_conv2d_2_0321465,1,1,1,58,58,64,3,3,64,64,1,56,56,64,0,3,2,1,4,6,5,1,58,58,8,3,3,8,1,1,56,56,1,512.0,394032640.0,0.0226,170099.0,3.940326,0.058678,2.596372,0.0890513676,231211008
resnet18_permute_conv2d_3_0123465,1,1,1,58,58,64,3,3,64,64,1,56,56,64,0,1,2,3,4,6,5,1,58,58,8,3,3,8,1,1,56,56,1,512.0,394032640.0,0.0223,170241.0,3.940326,0.058678,2.6313,0.0878692698,231211008
resnet18_permute_conv2d_3_0132465,1,1,1,58,58,64,3,3,64,64,1,56,56,64,0,1,3,2,4,6,5,1,58,58,8,3,3,8,1,1,56,56,1,512.0,394032640.0,0.0231,171635.0,3.940326,0.058678,2.540173,0.0910215306,231211008
resnet18_permute_conv2d_3_0213465,1,1,1,58,58,64,3,3,64,64,1,56,56,64,0,2,1,3,4,6,5,1,58,58,8,3,3,8,1,1,56,56,1,512.0,394032640.0,0.0212,169464.0,3.940326,0.058678,2.76783,0.0835349112,231211008
resnet18_permute_conv2d_3_0231465,1,1,1,58,58,64,3,3,64,64,1,56,56,64,0,3,1,2,4,6,5,1,58,58,8,3,3,8,1,1,56,56,1,512.0,394032640.0,0.0211,169132.0,3.940326,0.058678,2.780948,0.0831408786,231211008
resnet18_permute_conv2d_3_0312465,1,1,1,58,58,64,3,3,64,64,1,56,56,64,0,2,3,1,4,6,5,1,58,58,8,3,3,8,1,1,56,56,1,512.0,394032640.0,0.0214,170659.0,3.940326,0.058678,2.741963,0.0843229764,231211008
