configuration,strides,dilations,input_batch,input_width,input_height,input_channel,kernel_width,kernel_height,kernel_input_channels,kernel_output_channels,output_batch,output_width,output_height,output_channel,permuation_order_1,permuation_order_2,permuation_order_3,permuation_order_4,permuation_order_5,permuation_order_6,permuation_order_7,actual_input_batch,actual_input_width,actual_input_height,actual_input_channel,actual_kernel_width,actual_kernel_height,actual_kernel_input_channels,actual_kernel_output_channels,actual_output_batch,actual_output_width,actual_output_height,actual_output_channel,number_of_tiles,simulation_cycles,total_power,area,runtime_in_s,gflops,gflops_per_watt,energy_consumed,flop_count
resnet18_permute_conv2d_1_0123456,2,1,1,229,229,3,7,7,3,64,1,112,112,64,0,1,2,3,4,5,6,1,229,229,1,7,7,1,1,1,112,112,1,192.0,541480320.0,0.0101,87608.0,5.414803,0.043589,4.315743,0.0546895103,236027904
resnet18_permute_conv2d_1_0123465,2,1,1,229,229,3,7,7,3,64,1,112,112,64,0,1,2,3,4,6,5,1,229,229,1,7,7,1,1,1,112,112,1,192.0,541480320.0,0.0101,88992.0,5.414803,0.043589,4.315743,0.0546895103,236027904
resnet18_permute_conv2d_1_0123546,2,1,1,229,229,3,7,7,3,64,1,112,112,64,0,1,2,3,5,4,6,1,229,229,1,7,7,1,1,1,112,112,1,192.0,541371456.0,0.0102,89704.0,5.413715,0.043598,4.274314,0.055219893,236027904
resnet18_permute_conv2d_1_0123564,2,1,1,229,229,3,7,7,3,64,1,112,112,64,0,1,2,3,6,4,5,1,229,229,1,7,7,1,1,1,112,112,1,192.0,541371456.0,0.0103,89422.0,5.413715,0.043598,4.232816,0.0557612645,236027904
resnet18_permute_conv2d_1_0123645,2,1,1,229,229,3,7,7,3,64,1,112,112,64,0,1,2,3,5,6,4,1,229,229,1,7,7,1,1,1,112,112,1,192.0,541480320.0,0.0102,89402.0,5.414803,0.043589,4.273431,0.0552309906,236027904
resnet18_permute_conv2d_1_0123654,2,1,1,229,229,3,7,7,3,64,1,112,112,64,0,1,2,3,6,5,4,1,229,229,1,7,7,1,1,1,112,112,1,192.0,541371456.0,0.0105,90285.0,5.413715,0.043598,4.15219,0.0568440075,236027904
resnet18_permute_conv2d_2_0123456,1,1,1,58,58,64,3,3,64,64,1,56,56,64,0,1,2,3,4,5,6,1,58,58,8,3,3,8,1,1,56,56,1,512.0,511206912.0,0.0109,96487.0,5.112069,0.045228,4.149358,0.0557215521,231211008
resnet18_permute_conv2d_2_0123465,1,1,1,58,58,64,3,3,64,64,1,56,56,64,0,1,2,3,4,6,5,1,58,58,8,3,3,8,1,1,56,56,1,512.0,394032640.0,0.022,170933.0,3.940326,0.058678,2.667182,0.086687172,231211008
resnet18_permute_conv2d_2_0123546,1,1,1,58,58,64,3,3,64,64,1,56,56,64,0,1,2,3,5,4,6,1,58,58,8,3,3,8,1,1,56,56,1,512.0,511205888.0,0.011,97378.0,5.112059,0.045229,4.111727,0.056232649,231211008
resnet18_permute_conv2d_2_0123564,1,1,1,58,58,64,3,3,64,64,1,56,56,64,0,1,2,3,6,4,5,1,58,58,8,3,3,8,1,1,56,56,1,512.0,394032640.0,0.0225,171695.0,3.940326,0.058678,2.607911,0.088657335,231211008
