configuration,strides,dilations,input_batch,input_width,input_height,input_channel,kernel_width,kernel_height,kernel_input_channels,kernel_output_channels,output_batch,output_width,output_height,output_channel,tiled_output_batch,tiled_output_width,tiled_output_height,tiled_output_channel,tiled_kernel_width,tiled_kernel_height,tiled_input_channel,actual_input_batch,actual_input_width,actual_input_height,actual_input_channel,actual_kernel_width,actual_kernel_height,actual_kernel_input_channels,actual_kernel_output_channels,actual_output_batch,actual_output_width,actual_output_height,actual_output_channel,number_of_tiles,simulation_cycles,total_power,area,runtime_in_s,gflops,gflops_per_watt,energy_consumed,flop_count
resnet18_tile_conv2d_1_0000000,2,1,1,229,229,3,7,7,3,64,1,112,112,64,0,0,0,0,0,0,0,1,229,229,1,7,7,1,1,1,112,112,1,192.0,541489152.0,0.0123,105603.0,5.414892,0.043589,3.543821,0.0666031716,236027904
resnet18_tile_conv2d_1_1441331,2,1,1,229,229,3,7,7,3,64,1,112,112,64,1,4,4,1,3,3,1,1,229,229,1,7,7,1,1,1,112,112,1,192.0,926264640.0,0.0136,116883.0,9.262646,0.025482,1.873676,0.1259719856,236027904
resnet18_tile_conv2d_1_1881331,2,1,1,229,229,3,7,7,3,64,1,112,112,64,1,8,8,1,3,3,1,1,229,229,1,7,7,1,1,1,112,112,1,192.0,922889472.0,0.0136,116056.0,9.228895,0.025575,1.880515,0.125512972,236027904
resnet18_tile_conv2d_1_1881551,2,1,1,229,229,3,7,7,3,64,1,112,112,64,1,8,8,1,5,5,1,1,229,229,1,7,7,1,1,1,112,112,1,192.0,589846272.0,0.0139,119311.0,5.898463,0.040015,2.878777,0.0819886357,236027904
resnet18_tile_conv2d_1_1881771,2,1,1,229,229,3,7,7,3,64,1,112,112,64,1,8,8,1,7,7,1,1,229,229,1,7,7,1,1,1,112,112,1,192.0,542128896.0,0.0126,109279.0,5.421289,0.043537,3.455317,0.0683082414,236027904
resnet18_tile_conv2d_1_116161331,2,1,1,229,229,3,7,7,3,64,1,112,112,64,1,16,16,1,3,3,1,1,229,229,1,7,7,1,1,1,112,112,1,192.0,919951488.0,0.0136,115409.0,9.199515,0.025657,1.886544,0.125113404,236027904
resnet18_tile_conv2d_1_116161551,2,1,1,229,229,3,7,7,3,64,1,112,112,64,1,16,16,1,5,5,1,1,229,229,1,7,7,1,1,1,112,112,1,192.0,588470016.0,0.0139,119450.0,5.8847,0.040109,2.88554,0.08179733,236027904
resnet18_tile_conv2d_1_116161771,2,1,1,229,229,3,7,7,3,64,1,112,112,64,1,16,16,1,7,7,1,1,229,229,1,7,7,1,1,1,112,112,1,192.0,541768704.0,0.0126,109110.0,5.417687,0.043566,3.457619,0.0682628562,236027904
resnet18_tile_conv2d_1_132321331,2,1,1,229,229,3,7,7,3,64,1,112,112,64,1,32,32,1,3,3,1,1,229,229,1,7,7,1,1,1,112,112,1,192.0,918647616.0,0.0139,117297.0,9.186476,0.025693,1.848417,0.1276920164,236027904
resnet18_tile_conv2d_1_132321551,2,1,1,229,229,3,7,7,3,64,1,112,112,64,1,32,32,1,5,5,1,1,229,229,1,7,7,1,1,1,112,112,1,192.0,587823936.0,0.0149,121062.0,5.878239,0.040153,2.694832,0.0875857611,236027904
