configuration,strides,dilations,input_batch,input_width,input_height,input_channel,kernel_width,kernel_height,kernel_input_channels,kernel_output_channels,output_batch,output_width,output_height,output_channel,unroll_full,unroll_factor,actual_input_batch,actual_input_width,actual_input_height,actual_input_channel,actual_kernel_width,actual_kernel_height,actual_kernel_input_channels,actual_kernel_output_channels,actual_output_batch,actual_output_width,actual_output_height,actual_output_channel,number_of_tiles,simulation_cycles,total_power,area,runtime_in_s,gflops,gflops_per_watt,energy_consumed,flop_count
resnet18_unroll_conv2d_1_unroll_0_factor_0,2,1,1,229,229,3,7,7,3,64,1,112,112,64,0,0,1,229,229,1,7,7,1,1,1,112,112,1,192.0,481732992.0,0.00322,32239.0,4.81733,0.048996,15.216149,0.0155118026,236027904
resnet18_unroll_conv2d_1_unroll_1_factor_0,2,1,1,229,229,3,7,7,3,64,1,112,112,64,1,0,1,229,229,1,7,7,1,1,1,112,112,1,192.0,481732992.0,0.00319,32147.0,4.81733,0.048996,15.359248,0.0153672827,236027904
resnet18_unroll_conv2d_1_unroll_2_factor_4,2,1,1,229,229,3,7,7,3,64,1,112,112,64,2,4,1,229,229,1,7,7,1,1,1,112,112,1,192.0,481732992.0,0.00354,31033.0,4.81733,0.048996,13.840678,0.0170533482,236027904
resnet18_unroll_conv2d_1_unroll_2_factor_0,2,1,1,229,229,3,7,7,3,64,1,112,112,64,2,0,1,229,229,1,7,7,1,1,1,112,112,1,192.0,481732992.0,0.00313,31379.0,4.81733,0.048996,15.653674,0.0150782429,236027904
resnet18_unroll_conv2d_1_unroll_3_factor_4,2,1,1,229,229,3,7,7,3,64,1,112,112,64,3,4,1,229,229,1,7,7,1,1,1,112,112,1,192.0,358890240.0,0.0143,117903.0,3.588902,0.065766,4.599021,0.0513212986,236027904
resnet18_unroll_conv2d_1_unroll_3_factor_0,2,1,1,229,229,3,7,7,3,64,1,112,112,64,3,0,1,229,229,1,7,7,1,1,1,112,112,1,192.0,358911744.0,0.0142,116593.0,3.589117,0.065762,4.631127,0.0509654614,236027904
resnet18_unroll_conv2d_2_unroll_0_factor_0,1,1,1,58,58,64,3,3,64,64,1,56,56,64,0,0,1,58,58,32,3,3,32,1,1,56,56,1,128.0,580041984.0,0.00498,45758.0,5.80042,0.039861,8.004217,0.0288860916,231211008
resnet18_unroll_conv2d_2_unroll_1_factor_4,1,1,1,58,58,64,3,3,64,64,1,56,56,64,1,4,1,58,58,32,3,3,32,1,1,56,56,1,128.0,466443520.0,0.00431,38549.0,4.664435,0.049569,11.500928,0.02010371485,231211008
resnet18_unroll_conv2d_2_unroll_1_factor_8,1,1,1,58,58,64,3,3,64,64,1,56,56,64,1,8,1,58,58,32,3,3,32,1,1,56,56,1,128.0,473676032.0,0.00353,29225.0,4.73676,0.048812,13.827762,0.0167207628,231211008
resnet18_unroll_conv2d_2_unroll_1_factor_16,1,1,1,58,58,64,3,3,64,64,1,56,56,64,1,16,1,58,58,32,3,3,32,1,1,56,56,1,128.0,473676032.0,0.00511,39157.0,4.73676,0.048812,9.55225,0.0242048436,231211008
