configuration,input_batch,input_width,input_height,weight_batch,weight_width,weight_height,output_batch,output_width,output_height,tiled_output_batch,tiled_output_width,tiled_output_height,tiled_kernel_width,actual_input_batch,actual_input_width,actual_input_height,actual_weight_batch,actual_weight_width,actual_weight_height,actual_output_batch,actual_output_width,actual_output_height,number_of_tiles,simulation_cycles,total_power,area,runtime_in_s,gflops,gflops_per_watt,energy_consumed,flop_count
resnet18_tile_matmul_1_0000,1,1,512,1,512,1000,1,1,1000,0,0,0,0,1,1,128,1,128,125,1,1,125,32.0,4313888.0,0.00456,36046.0,0.043139,0.023737,5.205482,0.00019671384,1024000
resnet18_tile_matmul_1_1144,1,1,512,1,512,1000,1,1,1000,1,1,4,4,1,1,128,1,128,125,1,1,125,32.0,4405504.0,0.0059,51098.0,0.044055,0.023244,3.939661,0.0002599245,1024000
resnet18_tile_matmul_1_1148,1,1,512,1,512,1000,1,1,1000,1,1,4,8,1,1,128,1,128,125,1,1,125,32.0,4164352.0,0.00755,62161.0,0.041644,0.024589,3.256821,0.0003144122,1024000
resnet18_tile_matmul_1_11416,1,1,512,1,512,1000,1,1,1000,1,1,4,16,1,1,128,1,128,125,1,1,125,32.0,4043776.0,0.00997,84318.0,0.040438,0.025323,2.53992,0.00040316686,1024000
resnet18_tile_matmul_1_11432,1,1,512,1,512,1000,1,1,1000,1,1,4,32,1,1,128,1,128,125,1,1,125,32.0,4875936.0,0.00634,55984.0,0.048759,0.021001,3.312461,0.00030913206,1024000
resnet18_tile_matmul_1_11464,1,1,512,1,512,1000,1,1,1000,1,1,4,64,1,1,128,1,128,125,1,1,125,32.0,4331936.0,0.00481,42988.0,0.043319,0.023639,4.914553,0.00020836439,1024000
resnet18_tile_matmul_1_114128,1,1,512,1,512,1000,1,1,1000,1,1,4,128,1,1,128,1,128,125,1,1,125,32.0,4315936.0,0.00471,37766.0,0.043159,0.023726,5.037367,0.00020327889,1024000
resnet18_tile_matmul_1_1184,1,1,512,1,512,1000,1,1,1000,1,1,8,4,1,1,128,1,128,125,1,1,125,32.0,4289792.0,0.00605,51444.0,0.042898,0.023871,3.94562,0.0002595329,1024000
resnet18_tile_matmul_1_1188,1,1,512,1,512,1000,1,1,1000,1,1,8,8,1,1,128,1,128,125,1,1,125,32.0,4073216.0,0.00731,62074.0,0.040732,0.02514,3.439124,0.00029775092,1024000
resnet18_tile_matmul_1_11816,1,1,512,1,512,1000,1,1,1000,1,1,8,16,1,1,128,1,128,125,1,1,125,32.0,3964928.0,0.0104,84406.0,0.039649,0.025827,2.483365,0.0004123496,1024000
