configuration,strides,dilations,input_batch,input_width,input_height,input_channel,kernel_width,kernel_height,kernel_input_channels,kernel_output_channels,output_batch,output_width,output_height,output_channel,permuation_order_1,permuation_order_2,permuation_order_3,permuation_order_4,permuation_order_5,permuation_order_6,permuation_order_7,actual_input_batch,actual_input_width,actual_input_height,actual_input_channel,actual_kernel_width,actual_kernel_height,actual_kernel_input_channels,actual_kernel_output_channels,actual_output_batch,actual_output_width,actual_output_height,actual_output_channel,number_of_tiles,simulation_cycles,total_power,area,runtime_in_s,gflops,gflops_per_watt,energy_consumed,flop_count
vgg16_permute_conv2d_3_0123456,1,1,1,114,114,64,3,3,64,128,1,112,112,128,0,1,2,3,4,5,6,1,114,114,1,3,3,1,1,1,112,112,1,8192.0,4232478720.0,0.0073,59012.0,42.324787,0.043702,5.986575,0.3089709451,1849688064
vgg16_permute_conv2d_3_0123465,1,1,1,114,114,64,3,3,64,128,1,112,112,128,0,1,2,3,4,6,5,1,114,114,1,3,3,1,1,1,112,112,1,8192.0,4232478720.0,0.00738,59940.0,42.324787,0.043702,5.92168,0.31235692806,1849688064
vgg16_permute_conv2d_3_0123546,1,1,1,114,114,64,3,3,64,128,1,112,112,128,0,1,2,3,5,4,6,1,114,114,1,3,3,1,1,1,112,112,1,8192.0,4232478720.0,0.00714,60056.0,42.324787,0.043702,6.120728,0.30219897918,1849688064
vgg16_permute_conv2d_3_0123564,1,1,1,114,114,64,3,3,64,128,1,112,112,128,0,1,2,3,6,4,5,1,114,114,1,3,3,1,1,1,112,112,1,8192.0,4232478720.0,0.00737,60226.0,42.324787,0.043702,5.929715,0.31193368019,1849688064
vgg16_permute_conv2d_3_0123645,1,1,1,114,114,64,3,3,64,128,1,112,112,128,0,1,2,3,5,6,4,1,114,114,1,3,3,1,1,1,112,112,1,8192.0,4232536064.0,0.00746,62932.0,42.325361,0.043702,5.858177,0.31574719306,1849688064
vgg16_permute_conv2d_3_0123654,1,1,1,114,114,64,3,3,64,128,1,112,112,128,0,1,2,3,6,5,4,1,114,114,1,3,3,1,1,1,112,112,1,8192.0,4232536064.0,0.00746,62122.0,42.325361,0.043702,5.858177,0.31574719306,1849688064
vgg16_permute_conv2d_4_0123456,1,1,1,114,114,128,3,3,128,128,1,112,112,128,0,1,2,3,4,5,6,1,114,114,1,3,3,1,1,1,112,112,1,16384.0,8464957440.0,0.00711,58926.0,84.649574,0.043702,6.146554,0.60185847114,3699376128
vgg16_permute_conv2d_4_0123465,1,1,1,114,114,128,3,3,128,128,1,112,112,128,0,1,2,3,4,6,5,1,114,114,1,3,3,1,1,1,112,112,1,16384.0,8464957440.0,0.00738,59940.0,84.649574,0.043702,5.92168,0.62471385612,3699376128
vgg16_permute_conv2d_4_0123546,1,1,1,114,114,128,3,3,128,128,1,112,112,128,0,1,2,3,5,4,6,1,114,114,1,3,3,1,1,1,112,112,1,16384.0,8464957440.0,0.00714,59939.0,84.649574,0.043702,6.120728,0.60439795836,3699376128
vgg16_permute_conv2d_4_0123564,1,1,1,114,114,128,3,3,128,128,1,112,112,128,0,1,2,3,6,4,5,1,114,114,1,3,3,1,1,1,112,112,1,16384.0,8464957440.0,0.00722,59728.0,84.649574,0.043702,6.052909,0.61116992428,3699376128
