configuration,strides,dilations,input_batch,input_width,input_height,input_channel,kernel_width,kernel_height,kernel_input_channels,kernel_output_channels,output_batch,output_width,output_height,output_channel,tiled_output_batch,tiled_output_width,tiled_output_height,tiled_output_channel,tiled_kernel_width,tiled_kernel_height,tiled_input_channel,actual_input_batch,actual_input_width,actual_input_height,actual_input_channel,actual_kernel_width,actual_kernel_height,actual_kernel_input_channels,actual_kernel_output_channels,actual_output_batch,actual_output_width,actual_output_height,actual_output_channel,number_of_tiles,simulation_cycles,total_power,area,runtime_in_s,gflops,gflops_per_watt,energy_consumed,flop_count
vgg16_tile_conv2d_3_0000000,1,1,1,114,114,64,3,3,64,128,1,112,112,128,0,0,0,0,0,0,0,1,114,114,1,3,3,1,1,1,112,112,1,8192.0,4232478720.0,0.0073,59012.0,42.324787,0.043702,5.986575,0.3089709451,1849688064
vgg16_tile_conv2d_3_1441331,1,1,1,114,114,64,3,3,64,128,1,112,112,128,1,4,4,1,3,3,1,1,114,114,1,3,3,1,1,1,112,112,1,8192.0,4289593344.0,0.00731,62182.0,42.895933,0.04312,5.898769,0.31356927023,1849688064
vgg16_tile_conv2d_3_1881331,1,1,1,114,114,64,3,3,64,128,1,112,112,128,1,8,8,1,3,3,1,1,114,114,1,3,3,1,1,1,112,112,1,8192.0,4258971648.0,0.00752,62180.0,42.589716,0.04343,5.775266,0.32027466432,1849688064
vgg16_tile_conv2d_3_116161331,1,1,1,114,114,64,3,3,64,128,1,112,112,128,1,16,16,1,3,3,1,1,114,114,1,3,3,1,1,1,112,112,1,8192.0,4244865024.0,0.00754,62015.0,42.44865,0.043575,5.779178,0.320062821,1849688064
vgg16_tile_conv2d_3_132321331,1,1,1,114,114,64,3,3,64,128,1,112,112,128,1,32,32,1,3,3,1,1,114,114,1,3,3,1,1,1,112,112,1,8192.0,4242866176.0,0.0077,62762.0,42.428662,0.043595,5.661688,0.3267006974,1849688064
vgg16_tile_conv2d_3_164641331,1,1,1,114,114,64,3,3,64,128,1,112,112,128,1,64,64,1,3,3,1,1,114,114,1,3,3,1,1,1,112,112,1,8192.0,4235247616.0,0.00936,76093.0,42.352476,0.043674,4.666026,0.39641917536,1849688064
vgg16_tile_conv2d_4_0000000,1,1,1,114,114,128,3,3,128,128,1,112,112,128,0,0,0,0,0,0,0,1,114,114,1,3,3,1,1,1,112,112,1,16384.0,8464957440.0,0.00731,59087.0,84.649574,0.043702,5.978386,0.61878838594,3699376128
vgg16_tile_conv2d_4_1441331,1,1,1,114,114,128,3,3,128,128,1,112,112,128,1,4,4,1,3,3,1,1,114,114,1,3,3,1,1,1,112,112,1,16384.0,8579186688.0,0.00731,62182.0,85.791867,0.04312,5.898769,0.62713854777,3699376128
vgg16_tile_conv2d_4_1881331,1,1,1,114,114,128,3,3,128,128,1,112,112,128,1,8,8,1,3,3,1,1,114,114,1,3,3,1,1,1,112,112,1,16384.0,8517943296.0,0.00736,61765.0,85.179433,0.04343,5.900815,0.62692062688,3699376128
vgg16_tile_conv2d_4_116161331,1,1,1,114,114,128,3,3,128,128,1,112,112,128,1,16,16,1,3,3,1,1,114,114,1,3,3,1,1,1,112,112,1,16384.0,8489730048.0,0.00754,62015.0,84.8973,0.043575,5.779178,0.640125642,3699376128
