configuration,input_batch,input_width,input_height,weight_batch,weight_width,weight_height,output_batch,output_width,output_height,tiled_output_batch,tiled_output_width,tiled_output_height,tiled_kernel_width,actual_input_batch,actual_input_width,actual_input_height,actual_weight_batch,actual_weight_width,actual_weight_height,actual_output_batch,actual_output_width,actual_output_height,number_of_tiles,simulation_cycles,total_power,area,runtime_in_s,gflops,gflops_per_watt,energy_consumed,flop_count
vgg16_tile_matmul_1_0000,1,1,25088,1,25088,4096,1,1,4096,0,0,0,0,1,1,128,1,128,128,1,1,128,6272.0,865467008.0,0.00439,34384.0,8.65467,0.023747,5.409339,0.0379940013,205520896
vgg16_tile_matmul_1_1144,1,1,25088,1,25088,4096,1,1,4096,1,1,4,4,1,1,128,1,128,128,1,1,128,6272.0,633271296.0,0.00775,67872.0,6.332713,0.032454,4.187613,0.04907852575,205520896
vgg16_tile_matmul_1_1148,1,1,25088,1,25088,4096,1,1,4096,1,1,4,8,1,1,128,1,128,128,1,1,128,6272.0,633271296.0,0.0101,87363.0,6.332713,0.032454,3.213267,0.0639604013,205520896
vgg16_tile_matmul_1_11416,1,1,25088,1,25088,4096,1,1,4096,1,1,4,16,1,1,128,1,128,128,1,1,128,6272.0,710341632.0,0.0142,123237.0,7.103416,0.028933,2.037535,0.1008685072,205520896
vgg16_tile_matmul_1_11432,1,1,25088,1,25088,4096,1,1,4096,1,1,4,32,1,1,128,1,128,128,1,1,128,6272.0,968848384.0,0.00545,48528.0,9.688484,0.021213,3.892294,0.0528022378,205520896
vgg16_tile_matmul_1_11464,1,1,25088,1,25088,4096,1,1,4096,1,1,4,64,1,1,128,1,128,128,1,1,128,6272.0,967242752.0,0.00668,59018.0,9.672428,0.021248,3.180838,0.06461181904,205520896
vgg16_tile_matmul_1_114128,1,1,25088,1,25088,4096,1,1,4096,1,1,4,128,1,1,128,1,128,128,1,1,128,6272.0,967844864.0,0.00526,46210.0,9.678449,0.021235,4.037072,0.05090864174,205520896
vgg16_tile_matmul_1_1184,1,1,25088,1,25088,4096,1,1,4096,1,1,8,4,1,1,128,1,128,128,1,1,128,6272.0,856855552.0,0.00543,45972.0,8.568556,0.023985,4.417127,0.04652725908,205520896
vgg16_tile_matmul_1_1188,1,1,25088,1,25088,4096,1,1,4096,1,1,8,8,1,1,128,1,128,128,1,1,128,6272.0,815109120.0,0.00629,54129.0,8.151091,0.025214,4.008585,0.05127036239,205520896
vgg16_tile_matmul_1_11816,1,1,25088,1,25088,4096,1,1,4096,1,1,8,16,1,1,128,1,128,128,1,1,128,6272.0,794235904.0,0.0084,68032.0,7.942359,0.025877,3.080595,0.0667158156,205520896
vgg16_tile_matmul_1_11832,1,1,25088,1,25088,4096,1,1,4096,1,1,8,32,1,1,128,1,128,128,1,1,128,6272.0,967945216.0,0.00751,66323.0,9.679452,0.021233,2.827297,0.07269268452,205520896
vgg16_tile_matmul_1_11864,1,1,25088,1,25088,4096,1,1,4096,1,1,8,64,1,1,128,1,128,128,1,1,128,6272.0,969249792.0,0.0107,88469.0,9.692498,0.021204,1.981682,0.1037097286,205520896
