configuration,input_batch,input_width,input_height,weight_batch,weight_width,weight_height,output_batch,output_width,output_height,unroll_full,unroll_factor,actual_input_batch,actual_input_width,actual_input_height,actual_weight_batch,actual_weight_width,actual_weight_height,actual_output_batch,actual_output_width,actual_output_height,number_of_tiles,simulation_cycles,total_power,area,runtime_in_s,gflops,gflops_per_watt,energy_consumed,flop_count
vgg16_unroll_matmul_1_unroll_0_factor_0,1,1,25088,1,25088,4096,1,1,4096,0,0,1,1,32,1,32,32,1,1,32,100352.0,424087552.0,0.00141,12306.0,4.240876,0.048462,34.370213,0.00597963516,205520896
vgg16_unroll_matmul_1_unroll_1_factor_4,1,1,25088,1,25088,4096,1,1,4096,1,4,1,1,32,1,32,32,1,1,32,100352.0,321327104.0,0.00905,70895.0,3.213271,0.06396,7.067403,0.02908010255,205520896
vgg16_unroll_matmul_1_unroll_1_factor_8,1,1,25088,1,25088,4096,1,1,4096,1,8,1,1,32,1,32,32,1,1,32,100352.0,321327104.0,0.00878,70319.0,3.213271,0.06396,7.284738,0.02821251938,205520896
vgg16_unroll_matmul_1_unroll_1_factor_16,1,1,25088,1,25088,4096,1,1,4096,1,16,1,1,32,1,32,32,1,1,32,100352.0,321327104.0,0.00884,71023.0,3.213271,0.06396,7.235294,0.02840531564,205520896
vgg16_unroll_matmul_1_unroll_1_factor_0,1,1,25088,1,25088,4096,1,1,4096,1,0,1,1,32,1,32,32,1,1,32,100352.0,321327104.0,0.009,71399.0,3.213271,0.06396,7.106667,0.028919439,205520896
vgg16_unroll_matmul_1_unroll_2_factor_4,1,1,25088,1,25088,4096,1,1,4096,2,4,1,1,32,1,32,32,1,1,32,100352.0,162369536.0,0.0225,179174.0,1.623695,0.126576,5.6256,0.0365331375,205520896
vgg16_unroll_matmul_1_unroll_2_factor_8,1,1,25088,1,25088,4096,1,1,4096,2,8,1,1,32,1,32,32,1,1,32,100352.0,136679424.0,0.0391,326016.0,1.366794,0.150367,3.845703,0.0534416454,205520896
vgg16_unroll_matmul_1_unroll_2_factor_16,1,1,25088,1,25088,4096,1,1,4096,2,16,1,1,32,1,32,32,1,1,32,100352.0,123834368.0,0.0699,576714.0,1.238344,0.165964,2.374306,0.0865602456,205520896
vgg16_unroll_matmul_1_unroll_2_factor_0,1,1,25088,1,25088,4096,1,1,4096,2,0,1,1,32,1,32,32,1,1,32,100352.0,117211136.0,0.163,1142628.0,1.172111,0.175343,1.075724,0.191054093,205520896
vgg16_unroll_matmul_2_unroll_0_factor_0,1,1,4096,1,4096,4096,1,1,4096,0,0,1,1,32,1,32,32,1,1,32,16384.0,69238784.0,0.00141,12306.0,0.692388,0.048462,34.370213,0.00097626708,33554432
vgg16_unroll_matmul_2_unroll_1_factor_4,1,1,4096,1,4096,4096,1,1,4096,1,4,1,1,32,1,32,32,1,1,32,16384.0,52461568.0,0.00896,70321.0,0.524616,0.06396,7.138393,0.00470055936,33554432
vgg16_unroll_matmul_2_unroll_1_factor_8,1,1,4096,1,4096,4096,1,1,4096,1,8,1,1,32,1,32,32,1,1,32,16384.0,52461568.0,0.00878,71014.0,0.524616,0.06396,7.284738,0.00460612848,33554432
vgg16_unroll_matmul_2_unroll_1_factor_16,1,1,4096,1,4096,4096,1,1,4096,1,16,1,1,32,1,32,32,1,1,32,16384.0,52461568.0,0.00896,70491.0,0.524616,0.06396,7.138393,0.00470055936,33554432
vgg16_unroll_matmul_2_unroll_1_factor_0,1,1,4096,1,4096,4096,1,1,4096,1,0,1,1,32,1,32,32,1,1,32,16384.0,52461568.0,0.00898,70557.0,0.524616,0.06396,7.122494,0.00471105168,33554432
vgg16_unroll_matmul_2_unroll_2_factor_4,1,1,4096,1,4096,4096,1,1,4096,2,4,1,1,32,1,32,32,1,1,32,16384.0,26509312.0,0.0226,179718.0,0.265093,0.126576,5.600708,0.0059911018,33554432
vgg16_unroll_matmul_2_unroll_2_factor_8,1,1,4096,1,4096,4096,1,1,4096,2,8,1,1,32,1,32,32,1,1,32,16384.0,22315008.0,0.0398,324030.0,0.22315,0.150367,3.778065,0.00888137,33554432
