configuration,strides,dilations,input_batch,input_width,input_height,input_channel,kernel_width,kernel_height,kernel_input_channels,kernel_output_channels,output_batch,output_width,output_height,output_channel,permuation_order_1,permuation_order_2,permuation_order_3,permuation_order_4,permuation_order_5,permuation_order_6,permuation_order_7,actual_input_batch,actual_input_width,actual_input_height,actual_input_channel,actual_kernel_width,actual_kernel_height,actual_kernel_input_channels,actual_kernel_output_channels,actual_output_batch,actual_output_width,actual_output_height,actual_output_channel,number_of_tiles,simulation_cycles,total_power,area,runtime_in_s,gflops,gflops_per_watt,energy_consumed,flop_count
vgg19_permute_conv2d_3_0123456,1,1,1,114,114,64,3,3,64,128,1,112,112,128,0,1,2,3,4,5,6,1,114,114,1,3,3,1,1,1,112,112,1,8192.0,4232478720.0,0.0073,59012.0,42.324787,0.043702,5.986575,0.3089709451,1849688064
vgg19_permute_conv2d_3_0213564,1,1,1,114,114,64,3,3,64,128,1,112,112,128,0,2,1,3,6,4,5,1,114,114,1,3,3,1,1,1,112,112,1,8192.0,4232478720.0,0.00719,60140.0,42.324787,0.043702,6.078164,0.30431521853,1849688064
vgg19_permute_conv2d_4_0123456,1,1,1,114,114,128,3,3,128,128,1,112,112,128,0,1,2,3,4,5,6,1,114,114,1,3,3,1,1,1,112,112,1,16384.0,8464957440.0,0.0073,59012.0,84.649574,0.043702,5.986575,0.6179418902,3699376128
vgg19_permute_conv2d_4_0213564,1,1,1,114,114,128,3,3,128,128,1,112,112,128,0,2,1,3,6,4,5,1,114,114,1,3,3,1,1,1,112,112,1,16384.0,8464957440.0,0.00718,60125.0,84.649574,0.043702,6.08663,0.60778394132,3699376128
vgg19_permute_conv2d_5_0123456,1,1,1,58,58,128,3,3,128,256,1,56,56,256,0,1,2,3,4,5,6,1,58,58,8,3,3,8,1,1,56,56,1,4096.0,4089655296.0,0.0112,98159.0,40.896553,0.045228,4.038214,0.4580413936,1849688064
vgg19_permute_conv2d_5_0213564,1,1,1,58,58,128,3,3,128,256,1,56,56,256,0,2,1,3,6,4,5,1,58,58,8,3,3,8,1,1,56,56,1,4096.0,3152261120.0,0.0215,169786.0,31.522611,0.058678,2.729209,0.6777361365,1849688064
vgg19_permute_conv2d_6_0123456,1,1,1,58,58,256,3,3,256,256,1,56,56,256,0,1,2,3,4,5,6,1,58,58,8,3,3,8,1,1,56,56,1,8192.0,8179310592.0,0.0109,96967.0,81.793106,0.045228,4.149358,0.8915448554,3699376128
vgg19_permute_conv2d_6_0213564,1,1,1,58,58,256,3,3,256,256,1,56,56,256,0,2,1,3,6,4,5,1,58,58,8,3,3,8,1,1,56,56,1,8192.0,6304522240.0,0.022,169084.0,63.045222,0.058678,2.667182,1.386994884,3699376128
vgg19_permute_conv2d_7_0123456,1,1,1,58,58,256,3,3,256,256,1,56,56,256,0,1,2,3,4,5,6,1,58,58,8,3,3,8,1,1,56,56,1,8192.0,8179310592.0,0.011,97129.0,81.793106,0.045228,4.111636,0.899724166,3699376128
vgg19_permute_conv2d_7_0213564,1,1,1,58,58,256,3,3,256,256,1,56,56,256,0,2,1,3,6,4,5,1,58,58,8,3,3,8,1,1,56,56,1,8192.0,6304522240.0,0.0219,169701.0,63.045222,0.058678,2.679361,1.3806903618,3699376128
