configuration,strides,dilations,input_batch,input_width,input_height,input_channel,kernel_width,kernel_height,kernel_input_channels,kernel_output_channels,output_batch,output_width,output_height,output_channel,unroll_full,unroll_factor,actual_input_batch,actual_input_width,actual_input_height,actual_input_channel,actual_kernel_width,actual_kernel_height,actual_kernel_input_channels,actual_kernel_output_channels,actual_output_batch,actual_output_width,actual_output_height,actual_output_channel,number_of_tiles,simulation_cycles,total_power,area,runtime_in_s,gflops,gflops_per_watt,energy_consumed,flop_count
vgg19_unroll_conv2d_1_unroll_0_factor_0,1,1,1,226,226,3,3,3,3,64,1,224,224,64,0,0,1,226,226,1,3,3,1,1,1,224,224,1,192.0,279425280.0,0.00386,34519.0,2.794253,0.062059,16.077461,0.01078581658,173408256
vgg19_unroll_conv2d_1_unroll_3_factor_0,1,1,1,226,226,3,3,3,3,64,1,224,224,64,3,0,1,226,226,1,3,3,1,1,1,224,224,1,192.0,279468288.0,0.00379,35025.0,2.794683,0.062049,16.371768,0.01059184857,173408256
vgg19_unroll_conv2d_2_unroll_0_factor_0,1,1,1,226,226,64,3,3,64,64,1,224,224,64,0,0,1,226,226,1,3,3,1,1,1,224,224,1,4096.0,5961072640.0,0.00361,34236.0,59.610726,0.062059,17.190859,0.21519472086,3699376128
vgg19_unroll_conv2d_2_unroll_3_factor_0,1,1,1,226,226,64,3,3,64,64,1,224,224,64,3,0,1,226,226,1,3,3,1,1,1,224,224,1,4096.0,5961990144.0,0.00379,35030.0,59.619901,0.062049,16.371768,0.22595942479,3699376128
vgg19_unroll_conv2d_3_unroll_0_factor_0,1,1,1,114,114,64,3,3,64,128,1,112,112,128,0,0,1,114,114,1,3,3,1,1,1,112,112,1,8192.0,2981068800.0,0.00371,34078.0,29.810688,0.062048,16.724528,0.11059765248,1849688064
vgg19_unroll_conv2d_3_unroll_3_factor_0,1,1,1,114,114,64,3,3,64,128,1,112,112,128,3,0,1,114,114,1,3,3,1,1,1,112,112,1,8192.0,2981986304.0,0.00369,34712.0,29.819863,0.062029,16.810027,0.11003529447,1849688064
vgg19_unroll_conv2d_4_unroll_0_factor_0,1,1,1,114,114,128,3,3,128,128,1,112,112,128,0,0,1,114,114,1,3,3,1,1,1,112,112,1,16384.0,5962137600.0,0.0037,34075.0,59.621376,0.062048,16.76973,0.2205990912,3699376128
vgg19_unroll_conv2d_4_unroll_3_factor_0,1,1,1,114,114,128,3,3,128,128,1,112,112,128,3,0,1,114,114,1,3,3,1,1,1,112,112,1,16384.0,5963972608.0,0.00376,35014.0,59.639726,0.062029,16.497074,0.22424536976,3699376128
vgg19_unroll_conv2d_5_unroll_0_factor_0,1,1,1,58,58,128,3,3,128,256,1,56,56,256,0,0,1,58,58,32,3,3,32,1,1,56,56,1,1024.0,4640335872.0,0.00499,45778.0,46.403359,0.039861,7.988176,0.23155276141,1849688064
vgg19_unroll_conv2d_5_unroll_3_factor_0,1,1,1,58,58,128,3,3,128,256,1,56,56,256,3,0,1,58,58,32,3,3,32,1,1,56,56,1,1024.0,2795167744.0,0.0629,504355.0,27.951677,0.066174,1.052051,1.7581604833,1849688064
vgg19_unroll_conv2d_6_unroll_0_factor_0,1,1,1,58,58,256,3,3,256,256,1,56,56,256,0,0,1,58,58,32,3,3,32,1,1,56,56,1,2048.0,9280671744.0,0.00499,45800.0,92.806717,0.039861,7.988176,0.46310551783,3699376128
vgg19_unroll_conv2d_6_unroll_3_factor_0,1,1,1,58,58,256,3,3,256,256,1,56,56,256,3,0,1,58,58,32,3,3,32,1,1,56,56,1,2048.0,5590335488.0,0.0616,508176.0,55.903355,0.066174,1.074253,3.443646668,3699376128
vgg19_unroll_conv2d_7_unroll_0_factor_0,1,1,1,58,58,256,3,3,256,256,1,56,56,256,0,0,1,58,58,32,3,3,32,1,1,56,56,1,2048.0,9280671744.0,0.005,45844.0,92.806717,0.039861,7.9722,0.464033585,3699376128
vgg19_unroll_conv2d_7_unroll_3_factor_0,1,1,1,58,58,256,3,3,256,256,1,56,56,256,3,0,1,58,58,32,3,3,32,1,1,56,56,1,2048.0,5590335488.0,0.0624,507439.0,55.903355,0.066174,1.060481,3.488369352,3699376128
vgg19_unroll_conv2d_8_unroll_0_factor_0,1,1,1,58,58,256,3,3,256,256,1,56,56,256,0,0,1,58,58,32,3,3,32,1,1,56,56,1,2048.0,9280671744.0,0.00499,45808.0,92.806717,0.039861,7.988176,0.46310551783,3699376128
vgg19_unroll_conv2d_8_unroll_3_factor_0,1,1,1,58,58,256,3,3,256,256,1,56,56,256,3,0,1,58,58,32,3,3,32,1,1,56,56,1,2048.0,5590335488.0,0.0627,507618.0,55.903355,0.066174,1.055407,3.5051403585,3699376128
vgg19_unroll_conv2d_9_unroll_0_factor_0,1,1,1,30,30,256,3,3,256,512,1,28,28,512,0,0,1,30,30,32,3,3,32,1,1,28,28,1,4096.0,4640399360.0,0.00487,44630.0,46.403994,0.039861,8.18501,0.22598745078,1849688064
vgg19_unroll_conv2d_9_unroll_3_factor_0,1,1,1,30,30,256,3,3,256,512,1,28,28,512,3,0,1,30,30,32,3,3,32,1,1,28,28,1,4096.0,2806382592.0,0.063,506111.0,28.063826,0.06591,1.04619,1.768021038,1849688064
vgg19_unroll_conv2d_10_unroll_0_factor_0,1,1,1,30,30,512,3,3,512,512,1,28,28,512,0,0,1,30,30,32,3,3,32,1,1,28,28,1,8192.0,9280798720.0,0.00489,44708.0,92.807987,0.039861,8.151534,0.45383105643,3699376128
vgg19_unroll_conv2d_10_unroll_3_factor_0,1,1,1,30,30,512,3,3,512,512,1,28,28,512,3,0,1,30,30,32,3,3,32,1,1,28,28,1,8192.0,5612765184.0,0.0616,505051.0,56.127652,0.06591,1.069968,3.4574633632,3699376128
vgg19_unroll_conv2d_11_unroll_0_factor_0,1,1,1,30,30,512,3,3,512,512,1,28,28,512,0,0,1,30,30,32,3,3,32,1,1,28,28,1,8192.0,9280798720.0,0.00489,44707.0,92.807987,0.039861,8.151534,0.45383105643,3699376128
vgg19_unroll_conv2d_11_unroll_3_factor_0,1,1,1,30,30,512,3,3,512,512,1,28,28,512,3,0,1,30,30,32,3,3,32,1,1,28,28,1,8192.0,5612765184.0,0.0627,506726.0,56.127652,0.06591,1.051196,3.5192037804,3699376128
vgg19_unroll_conv2d_12_unroll_0_factor_0,1,1,1,30,30,512,3,3,512,512,1,28,28,512,0,0,1,30,30,32,3,3,32,1,1,28,28,1,8192.0,9280798720.0,0.0049,44743.0,92.807987,0.039861,8.134898,0.4547591363,3699376128
vgg19_unroll_conv2d_12_unroll_3_factor_0,1,1,1,30,30,512,3,3,512,512,1,28,28,512,3,0,1,30,30,32,3,3,32,1,1,28,28,1,8192.0,5612765184.0,0.0626,505361.0,56.127652,0.06591,1.052875,3.5135910152,3699376128
vgg19_unroll_conv2d_13_unroll_0_factor_0,1,1,1,16,16,512,3,3,512,512,1,14,14,512,0,0,1,16,16,32,3,3,32,1,1,14,14,1,8192.0,2320269312.0,0.00487,44032.0,23.202693,0.039859,8.1846,0.11299711491,924844032
vgg19_unroll_conv2d_13_unroll_3_factor_0,1,1,1,16,16,512,3,3,512,512,1,14,14,512,3,0,1,16,16,32,3,3,32,1,1,14,14,1,8192.0,1414725632.0,0.0636,505974.0,14.147256,0.065373,1.027877,0.8997654816,924844032
vgg19_unroll_conv2d_14_unroll_0_factor_0,1,1,1,16,16,512,3,3,512,512,1,14,14,512,0,0,1,16,16,32,3,3,32,1,1,14,14,1,8192.0,2320269312.0,0.00487,44036.0,23.202693,0.039859,8.1846,0.11299711491,924844032
vgg19_unroll_conv2d_14_unroll_3_factor_0,1,1,1,16,16,512,3,3,512,512,1,14,14,512,3,0,1,16,16,32,3,3,32,1,1,14,14,1,8192.0,1414725632.0,0.0618,498824.0,14.147256,0.065373,1.057816,0.8743004208,924844032
vgg19_unroll_conv2d_15_unroll_0_factor_0,1,1,1,16,16,512,3,3,512,512,1,14,14,512,0,0,1,16,16,32,3,3,32,1,1,14,14,1,8192.0,2320269312.0,0.00488,44088.0,23.202693,0.039859,8.167828,0.11322914184,924844032
vgg19_unroll_conv2d_15_unroll_3_factor_0,1,1,1,16,16,512,3,3,512,512,1,14,14,512,3,0,1,16,16,32,3,3,32,1,1,14,14,1,8192.0,1414725632.0,0.0637,499898.0,14.147256,0.065373,1.026264,0.9011802072,924844032
vgg19_unroll_conv2d_16_unroll_0_factor_0,1,1,1,16,16,512,3,3,512,512,1,14,14,512,0,0,1,16,16,32,3,3,32,1,1,14,14,1,8192.0,2320269312.0,0.0052,43820.0,23.202693,0.039859,7.665192,0.1206540036,924844032
vgg19_unroll_conv2d_16_unroll_3_factor_0,1,1,1,16,16,512,3,3,512,512,1,14,14,512,3,0,1,16,16,32,3,3,32,1,1,14,14,1,8192.0,1414725632.0,0.0648,504406.0,14.147256,0.065373,1.008843,0.9167421888,924844032
