configuration,input_batch,input_width,input_height,weight_batch,weight_width,weight_height,output_batch,output_width,output_height,permuation_order_1,permuation_order_2,permuation_order_3,permuation_order_4,actual_input_batch,actual_input_width,actual_input_height,actual_weight_batch,actual_weight_width,actual_weight_height,actual_output_batch,actual_output_width,actual_output_height,number_of_tiles,simulation_cycles,total_power,area,runtime_in_s,gflops,gflops_per_watt,energy_consumed,flop_count
vgg19_permute_matmul_1_0123,1,1,25088,1,25088,4096,1,1,4096,0,1,2,3,1,1,128,1,128,128,1,1,128,6272.0,864908800.0,0.0041,32388.0,8.649088,0.023762,5.79561,0.0354612608,205520896
vgg19_permute_matmul_1_0132,1,1,25088,1,25088,4096,1,1,4096,0,1,3,2,1,1,128,1,128,128,1,1,128,6272.0,966866432.0,0.00398,32030.0,9.668664,0.021256,5.340704,0.03848128272,205520896
vgg19_permute_matmul_1_0213,1,1,25088,1,25088,4096,1,1,4096,0,2,1,3,1,1,128,1,128,128,1,1,128,6272.0,864908800.0,0.00414,32614.0,8.649088,0.023762,5.739614,0.03580722432,205520896
vgg19_permute_matmul_1_0231,1,1,25088,1,25088,4096,1,1,4096,0,3,1,2,1,1,128,1,128,128,1,1,128,6272.0,864908800.0,0.00414,32614.0,8.649088,0.023762,5.739614,0.03580722432,205520896
vgg19_permute_matmul_1_0312,1,1,25088,1,25088,4096,1,1,4096,0,2,3,1,1,1,128,1,128,128,1,1,128,6272.0,966866432.0,0.00396,32002.0,9.668664,0.021256,5.367677,0.03828790944,205520896
vgg19_permute_matmul_1_0321,1,1,25088,1,25088,4096,1,1,4096,0,3,2,1,1,1,128,1,128,128,1,1,128,6272.0,966866432.0,0.00398,32030.0,9.668664,0.021256,5.340704,0.03848128272,205520896
vgg19_permute_matmul_2_0123,1,1,4096,1,4096,4096,1,1,4096,0,1,2,3,1,1,128,1,128,128,1,1,128,1024.0,141209600.0,0.00415,32699.0,1.412096,0.023762,5.725783,0.0058601984,33554432
vgg19_permute_matmul_2_0132,1,1,4096,1,4096,4096,1,1,4096,0,1,3,2,1,1,128,1,128,128,1,1,128,1024.0,157855744.0,0.00398,32030.0,1.578557,0.021256,5.340704,0.00628265686,33554432
vgg19_permute_matmul_2_0213,1,1,4096,1,4096,4096,1,1,4096,0,2,1,3,1,1,128,1,128,128,1,1,128,1024.0,141209600.0,0.00408,32329.0,1.412096,0.023762,5.82402,0.00576135168,33554432
vgg19_permute_matmul_2_0231,1,1,4096,1,4096,4096,1,1,4096,0,3,1,2,1,1,128,1,128,128,1,1,128,1024.0,141209600.0,0.00415,32699.0,1.412096,0.023762,5.725783,0.0058601984,33554432
vgg19_permute_matmul_2_0312,1,1,4096,1,4096,4096,1,1,4096,0,2,3,1,1,1,128,1,128,128,1,1,128,1024.0,157855744.0,0.00396,32009.0,1.578557,0.021256,5.367677,0.00625108572,33554432
vgg19_permute_matmul_2_0321,1,1,4096,1,4096,4096,1,1,4096,0,3,2,1,1,1,128,1,128,128,1,1,128,1024.0,157855744.0,0.00398,32030.0,1.578557,0.021256,5.340704,0.00628265686,33554432
vgg19_permute_matmul_3_0123,1,1,4096,1,4096,1000,1,1,1000,0,1,2,3,1,1,128,1,128,125,1,1,125,256.0,34488320.0,0.00417,34714.0,0.344883,0.023753,5.696163,0.00143816211,8192000
vgg19_permute_matmul_3_0132,1,1,4096,1,4096,1000,1,1,1000,0,1,3,2,1,1,128,1,128,125,1,1,125,256.0,38554624.0,0.00407,34403.0,0.385546,0.021248,5.220639,0.00156917222,8192000
vgg19_permute_matmul_3_0213,1,1,4096,1,4096,1000,1,1,1000,0,2,1,3,1,1,128,1,128,125,1,1,125,256.0,34488320.0,0.00432,34610.0,0.344883,0.023753,5.49838,0.00148989456,8192000
vgg19_permute_matmul_3_0231,1,1,4096,1,4096,1000,1,1,1000,0,3,1,2,1,1,128,1,128,125,1,1,125,256.0,34488320.0,0.00418,34650.0,0.344883,0.023753,5.682536,0.00144161094,8192000
vgg19_permute_matmul_3_0312,1,1,4096,1,4096,1000,1,1,1000,0,2,3,1,1,1,128,1,128,125,1,1,125,256.0,38554624.0,0.00407,34403.0,0.385546,0.021248,5.220639,0.00156917222,8192000
vgg19_permute_matmul_3_0321,1,1,4096,1,4096,1000,1,1,1000,0,3,2,1,1,1,128,1,128,125,1,1,125,256.0,38554624.0,0.00396,34456.0,0.385546,0.021248,5.365657,0.00152676216,8192000
